age,sexe,taux,situationFamiliale,nbEnfantsAcharge,2eme voiture,immatriculation,sexe_index,situationFamiliale_index,2eme voiture_index
20.0,F,596.0,Célibataire,0.0,false,2244 TO 57,1.0,1.0,0.0
54.0,M,585.0,En Couple,3.0,false,7421 CJ 53,0.0,0.0,0.0
20.0,M,1046.0,Célibataire,0.0,false,5454 EF 56,0.0,1.0,0.0
25.0,M,845.0,Célibataire,0.0,false,8472 XY 51,0.0,1.0,0.0
37.0,M,599.0,Célibataire,0.0,false,2250 IU 28,0.0,1.0,0.0
36.0,M,1137.0,En Couple,4.0,true,2443 XW 20,0.0,0.0,1.0
57.0,M,574.0,Célibataire,0.0,false,7151 MJ 22,0.0,1.0,0.0
21.0,M,1095.0,Célibataire,0.0,false,3758 QY 87,0.0,1.0,0.0
22.0,M,1026.0,En Couple,0.0,true,8708 YB 79,0.0,0.0,1.0
66.0,M,580.0,En Couple,1.0,true,6566 ZK 84,0.0,0.0,1.0
80.0,M,580.0,En Couple,3.0,false,2080 CK 47,0.0,0.0,0.0
49.0,M,544.0,En Couple,2.0,false,9662 EO 64,0.0,0.0,0.0
29.0,F,1245.0,En Couple,1.0,false,4626 VK 67,1.0,0.0,0.0
44.0,M,554.0,Marié(e),2.0,false,5294 SK 59,0.0,2.0,0.0
49.0,F,946.0,Célibataire,0.0,false,1969 RF 12,1.0,1.0,0.0
32.0,M,1167.0,En Couple,3.0,false,7503 OL 23,0.0,0.0,0.0
24.0,M,1243.0,Célibataire,0.0,false,8725 LX 45,0.0,1.0,0.0
54.0,M,579.0,En Couple,1.0,false,5107 VC 91,0.0,0.0,0.0
19.0,M,559.0,En Couple,2.0,false,6187 VH 22,0.0,0.0,0.0
44.0,M,1398.0,Célibataire,0.0,false,9274 NU 37,0.0,1.0,0.0
39.0,M,1318.0,Célibataire,0.0,false,4266 WX 45,0.0,1.0,0.0
37.0,M,1250.0,Célibataire,0.0,false,8842 OQ 51,0.0,1.0,0.0
80.0,F,556.0,En Couple,2.0,false,2086 LL 66,1.0,0.0,0.0
43.0,M,751.0,En Couple,3.0,false,1765 XD 36,0.0,0.0,0.0
64.0,M,1265.0,En Couple,4.0,false,4982 QD 74,0.0,0.0,0.0
29.0,F,575.0,En Couple,3.0,false,4375 NL 98,1.0,0.0,0.0
22.0,M,962.0,En Couple,1.0,false,6738 SQ 75,0.0,0.0,0.0
26.0,F,1034.0,En Couple,0.0,false,7630 IT 45,1.0,0.0,0.0
54.0,M,589.0,Célibataire,1.0,false,7441 VJ 92,0.0,1.0,0.0
21.0,M,851.0,Célibataire,3.0,false,8552 OH 27,0.0,1.0,0.0
46.0,M,1134.0,En Couple,2.0,true,4434 UJ 86,0.0,0.0,1.0
29.0,M,1307.0,En Couple,4.0,false,4605 BF 36,0.0,0.0,0.0
20.0,M,934.0,Célibataire,0.0,false,1486 HZ 51,0.0,1.0,0.0
37.0,F,1292.0,Célibataire,0.0,false,2110 UE 92,1.0,1.0,0.0
64.0,F,1160.0,En Couple,2.0,false,9113 JZ 87,1.0,0.0,0.0
57.0,M,876.0,En Couple,4.0,false,1757 WF 44,0.0,0.0,0.0
20.0,M,998.0,En Couple,0.0,false,41 AY 76,0.0,0.0,0.0
42.0,F,1154.0,Célibataire,0.0,false,7756 CD 44,1.0,1.0,0.0
26.0,F,1256.0,Célibataire,0.0,false,2932 QD 39,1.0,1.0,0.0
53.0,M,848.0,En Couple,3.0,true,6406 TN 43,0.0,0.0,1.0
25.0,M,839.0,Célibataire,0.0,false,554 QX 84,0.0,1.0,0.0
26.0,M,1351.0,En Couple,2.0,false,9937 YB 70,0.0,0.0,0.0
58.0,M,1042.0,En Couple,3.0,false,773 NE 52,0.0,0.0,0.0
71.0,M,551.0,Célibataire,0.0,false,9443 YQ 25,0.0,1.0,0.0
61.0,M,593.0,Célibataire,0.0,false,1122 OG 92,0.0,1.0,0.0
56.0,M,1160.0,En Couple,0.0,false,8558 MX 85,0.0,0.0,0.0
83.0,F,1139.0,En Couple,0.0,false,6513 UL 75,1.0,0.0,0.0
29.0,M,579.0,Célibataire,0.0,false,7201 RW 53,0.0,1.0,0.0
52.0,F,581.0,Célibataire,0.0,false,6537 LP 70,1.0,1.0,0.0
47.0,M,1190.0,En Couple,0.0,false,8329 QJ 52,0.0,0.0,0.0
19.0,F,564.0,En Couple,0.0,false,7693 TU 70,1.0,0.0,0.0
18.0,M,1347.0,Célibataire,0.0,false,4695 XN 27,0.0,1.0,0.0
61.0,M,910.0,En Couple,1.0,false,7526 UR 52,0.0,0.0,0.0
65.0,M,886.0,Célibataire,0.0,false,3085 BK 18,0.0,1.0,0.0
30.0,M,555.0,Célibataire,0.0,false,1418 CC 83,0.0,1.0,0.0
20.0,M,1124.0,En Couple,1.0,true,6033 EB 37,0.0,0.0,1.0
31.0,M,1251.0,Célibataire,0.0,false,5956 NV 71,0.0,1.0,0.0
23.0,M,722.0,En Couple,0.0,false,2473 IE 43,0.0,0.0,0.0
32.0,M,998.0,Célibataire,0.0,false,5052 ZJ 64,0.0,1.0,0.0
53.0,M,895.0,Célibataire,0.0,false,9195 QU 61,0.0,1.0,0.0
67.0,F,1219.0,Célibataire,0.0,false,9431 ZC 67,1.0,1.0,0.0
31.0,F,995.0,En Couple,3.0,false,3626 NZ 20,1.0,0.0,0.0
39.0,M,1195.0,En Couple,4.0,false,2045 IN 20,0.0,0.0,0.0
50.0,M,1334.0,Célibataire,0.0,false,259 NX 68,0.0,1.0,0.0
27.0,F,1200.0,En Couple,3.0,true,9196 DX 33,1.0,0.0,1.0
48.0,M,897.0,Célibataire,0.0,false,3454 SC 44,0.0,1.0,0.0
36.0,M,583.0,Célibataire,0.0,false,5623 ND 70,0.0,1.0,0.0
52.0,M,1226.0,En Couple,3.0,true,3036 IH 38,0.0,0.0,1.0
39.0,M,577.0,Célibataire,2.0,false,7817 DZ 85,0.0,1.0,0.0
83.0,F,1379.0,En Couple,2.0,false,2220 WF 35,1.0,0.0,0.0
59.0,M,824.0,En Couple,0.0,false,6818 QK 27,0.0,0.0,0.0
65.0,M,1108.0,Célibataire,0.0,false,8188 KN 16,0.0,1.0,0.0
23.0,M,594.0,En Couple,2.0,false,9739 WR 71,0.0,0.0,0.0
22.0,M,1101.0,Célibataire,0.0,false,4774 HC 92,0.0,1.0,0.0
28.0,M,569.0,En Couple,0.0,false,4364 NT 47,0.0,0.0,0.0
68.0,M,555.0,Célibataire,0.0,false,110 RB 53,0.0,1.0,0.0
31.0,M,820.0,En Couple,1.0,false,1552 TG 60,0.0,0.0,0.0
41.0,M,1016.0,En Couple,1.0,false,2550 GQ 55,0.0,0.0,0.0
78.0,M,946.0,En Couple,2.0,false,1569 XG 31,0.0,0.0,0.0
68.0,M,1082.0,En Couple,0.0,false,2102 LK 46,0.0,0.0,0.0
31.0,M,853.0,En Couple,1.0,true,985 NL 69,0.0,0.0,1.0
36.0,M,834.0,En Couple,2.0,false,6433 DE 12,0.0,0.0,0.0
34.0,M,545.0,Célibataire,3.0,false,9762 NA 21,0.0,1.0,0.0
20.0,M,548.0,En Couple,3.0,false,6440 IY 86,0.0,0.0,0.0
42.0,M,1024.0,En Couple,0.0,false,8817 NZ 50,0.0,0.0,0.0
33.0,F,590.0,En Couple,4.0,false,393 JA 98,1.0,0.0,0.0
21.0,M,1360.0,Célibataire,0.0,false,560 BB 65,0.0,1.0,0.0
22.0,F,1019.0,En Couple,4.0,false,5937 PW 16,1.0,0.0,0.0
21.0,F,573.0,En Couple,1.0,true,5001 XQ 22,1.0,0.0,1.0
21.0,F,1258.0,En Couple,4.0,false,418 HG 43,1.0,0.0,0.0
37.0,F,571.0,En Couple,4.0,false,1760 AJ 59,1.0,0.0,0.0
26.0,M,933.0,En Couple,0.0,false,2879 PH 75,0.0,0.0,0.0
50.0,F,1203.0,En Couple,2.0,false,8694 QS 79,1.0,0.0,0.0
59.0,F,1360.0,En Couple,1.0,false,7777 PY 89,1.0,0.0,0.0
47.0,M,1165.0,En Couple,0.0,true,4325 NB 76,0.0,0.0,1.0
26.0,F,549.0,En Couple,3.0,true,2857 MC 65,1.0,0.0,1.0
22.0,M,559.0,Célibataire,0.0,false,1169 AH 16,0.0,1.0,0.0
62.0,M,552.0,En Couple,4.0,false,7639 AL 76,0.0,0.0,0.0
59.0,M,1000.0,En Couple,2.0,true,5210 PN 78,0.0,0.0,1.0
26.0,M,1354.0,En Couple,1.0,true,9586 JN 31,0.0,0.0,1.0
44.0,F,826.0,Célibataire,0.0,false,9538 JT 52,1.0,1.0,0.0
23.0,F,1088.0,En Couple,1.0,true,884 GJ 24,1.0,0.0,1.0
21.0,M,817.0,En Couple,0.0,false,5340 WL 44,0.0,0.0,0.0
78.0,F,972.0,Célibataire,0.0,false,3435 PT 29,1.0,1.0,0.0
42.0,M,1300.0,En Couple,0.0,false,9676 QT 28,0.0,0.0,0.0
26.0,M,585.0,Célibataire,0.0,false,38 EB 26,0.0,1.0,0.0
65.0,M,1077.0,Célibataire,0.0,false,746 GU 57,0.0,1.0,0.0
28.0,M,700.0,En Couple,0.0,false,3032 SE 80,0.0,0.0,0.0
29.0,M,1255.0,En Couple,4.0,true,9944 SW 16,0.0,0.0,1.0
56.0,M,948.0,En Couple,2.0,false,8474 DU 28,0.0,0.0,0.0
36.0,M,1293.0,Célibataire,0.0,false,5292 NZ 59,0.0,1.0,0.0
42.0,M,1020.0,En Couple,2.0,false,4375 GF 82,0.0,0.0,0.0
32.0,M,913.0,En Couple,1.0,false,9786 HL 23,0.0,0.0,0.0
49.0,M,565.0,Célibataire,0.0,false,9170 HI 96,0.0,1.0,0.0
80.0,M,936.0,Célibataire,0.0,false,1573 XI 48,0.0,1.0,0.0
27.0,M,548.0,En Couple,1.0,false,2565 XC 77,0.0,0.0,0.0
21.0,F,1053.0,Célibataire,0.0,false,3769 RH 17,1.0,1.0,0.0
30.0,M,1059.0,En Couple,1.0,false,2610 GP 85,0.0,0.0,0.0
44.0,M,1070.0,En Couple,3.0,false,6444 NX 68,0.0,0.0,0.0
24.0,M,590.0,En Couple,1.0,true,1884 RO 45,0.0,0.0,1.0
65.0,M,569.0,Célibataire,0.0,false,6461 BC 32,0.0,1.0,0.0
54.0,M,802.0,En Couple,3.0,false,661 DN 98,0.0,0.0,0.0
28.0,F,1118.0,En Couple,2.0,false,7144 XI 78,1.0,0.0,0.0
31.0,F,1054.0,Célibataire,0.0,false,9690 UB 93,1.0,1.0,0.0
59.0,M,1175.0,Célibataire,3.0,false,5796 OF 63,0.0,1.0,0.0
20.0,M,551.0,En Couple,3.0,true,7538 LG 64,0.0,0.0,1.0
39.0,F,1361.0,En Couple,4.0,false,715 GD 97,1.0,0.0,0.0
52.0,M,1172.0,Célibataire,0.0,false,262 CF 54,0.0,1.0,0.0
53.0,M,596.0,Célibataire,0.0,false,120 AX 38,0.0,1.0,0.0
72.0,F,797.0,En Couple,1.0,false,6976 VX 48,1.0,0.0,0.0
33.0,F,1227.0,En Couple,1.0,false,2048 UQ 52,1.0,0.0,0.0
50.0,M,1147.0,En Couple,1.0,false,1703 TF 14,0.0,0.0,0.0
51.0,M,1086.0,En Couple,3.0,true,8678 ZR 78,0.0,0.0,1.0
83.0,F,1085.0,En Couple,1.0,false,8291 XZ 58,1.0,0.0,0.0
45.0,M,570.0,Célibataire,0.0,false,6800 VN 40,0.0,1.0,0.0
67.0,M,579.0,En Couple,2.0,false,9718 MN 66,0.0,0.0,0.0
38.0,M,805.0,Célibataire,0.0,false,3462 HK 16,0.0,1.0,0.0
21.0,M,718.0,Célibataire,1.0,false,4140 JG 33,0.0,1.0,0.0
65.0,F,990.0,En Couple,2.0,true,6797 PU 90,1.0,0.0,1.0
47.0,M,738.0,Célibataire,0.0,false,5221 AT 65,0.0,1.0,0.0
30.0,F,712.0,En Couple,0.0,true,3423 PR 95,1.0,0.0,1.0
39.0,M,854.0,En Couple,4.0,false,9742 YS 77,0.0,0.0,0.0
74.0,M,1318.0,En Couple,4.0,false,9863 AY 68,0.0,0.0,0.0
24.0,M,1186.0,Célibataire,0.0,false,7984 YU 15,0.0,1.0,0.0
81.0,M,1164.0,Célibataire,0.0,false,7511 PH 51,0.0,1.0,0.0
54.0,M,554.0,En Couple,3.0,true,6582 RD 95,0.0,0.0,1.0
60.0,M,1130.0,En Couple,1.0,false,5228 PV 56,0.0,0.0,0.0
75.0,F,582.0,En Couple,1.0,false,8764 TX 61,1.0,0.0,0.0
34.0,M,1131.0,En Couple,4.0,true,7891 LC 43,0.0,0.0,1.0
76.0,M,802.0,En Couple,0.0,false,5367 JN 49,0.0,0.0,0.0
41.0,M,580.0,Célibataire,0.0,false,3023 UH 67,0.0,1.0,0.0
20.0,M,596.0,En Couple,0.0,false,9091 RH 36,0.0,0.0,0.0
52.0,M,565.0,Célibataire,0.0,false,6156 CK 48,0.0,1.0,0.0
18.0,M,1082.0,En Couple,2.0,false,1200 IF 54,0.0,0.0,0.0
36.0,M,1218.0,Célibataire,0.0,false,6254 GN 60,0.0,1.0,0.0
34.0,M,1096.0,En Couple,1.0,false,452 YQ 22,0.0,0.0,0.0
32.0,M,778.0,En Couple,1.0,false,935 QU 39,0.0,0.0,0.0
74.0,M,894.0,Célibataire,0.0,false,2418 UJ 14,0.0,1.0,0.0
26.0,F,597.0,En Couple,2.0,false,3690 YP 91,1.0,0.0,0.0
44.0,M,1295.0,En Couple,3.0,true,6841 ZW 76,0.0,0.0,1.0
36.0,M,548.0,Célibataire,0.0,false,9067 BS 61,0.0,1.0,0.0
24.0,F,1311.0,En Couple,0.0,false,6064 UV 35,1.0,0.0,0.0
43.0,M,545.0,Célibataire,0.0,false,2065 PW 46,0.0,1.0,0.0
77.0,F,1394.0,En Couple,2.0,false,755 DF 88,1.0,0.0,0.0
69.0,M,1013.0,En Couple,3.0,false,5351 TO 23,0.0,0.0,0.0
34.0,F,599.0,Célibataire,0.0,false,9599 CS 13,1.0,1.0,0.0
48.0,M,761.0,En Couple,0.0,false,1188 ME 12,0.0,0.0,0.0
24.0,M,581.0,Célibataire,2.0,false,3965 KR 32,0.0,1.0,0.0
25.0,M,1081.0,En Couple,4.0,false,8827 TP 44,0.0,0.0,0.0
73.0,M,1179.0,Célibataire,0.0,false,1680 DL 44,0.0,1.0,0.0
40.0,F,707.0,En Couple,2.0,false,7012 WK 25,1.0,0.0,0.0
20.0,M,1075.0,En Couple,1.0,false,9259 SC 21,0.0,0.0,0.0
49.0,M,544.0,En Couple,2.0,false,3115 RF 82,0.0,0.0,0.0
73.0,M,1019.0,En Couple,3.0,true,2108 JZ 50,0.0,0.0,1.0
52.0,M,572.0,En Couple,0.0,false,666 LC 59,0.0,0.0,0.0
37.0,F,1251.0,Célibataire,0.0,false,5155 GK 32,1.0,1.0,0.0
33.0,M,787.0,Célibataire,0.0,false,9268 UF 51,0.0,1.0,0.0
47.0,M,559.0,En Couple,3.0,false,5022 RY 82,0.0,0.0,0.0
21.0,M,545.0,En Couple,2.0,false,1071 OO 55,0.0,0.0,0.0
70.0,F,762.0,Marié(e),0.0,false,3757 TK 76,1.0,2.0,0.0
28.0,M,1287.0,En Couple,2.0,false,5506 TC 75,0.0,0.0,0.0
61.0,M,1328.0,En Couple,2.0,false,1605 GQ 47,0.0,0.0,0.0
37.0,M,872.0,Célibataire,0.0,false,4930 BO 77,0.0,1.0,0.0
71.0,M,1153.0,Célibataire,2.0,false,2639 FY 76,0.0,1.0,0.0
83.0,F,842.0,En Couple,0.0,true,2839 DO 60,1.0,0.0,1.0
28.0,M,1097.0,Célibataire,2.0,false,3547 BS 57,0.0,1.0,0.0
31.0,M,939.0,En Couple,4.0,false,4274 SW 20,0.0,0.0,0.0
84.0,M,573.0,Célibataire,0.0,false,4075 JX 68,0.0,1.0,0.0
81.0,F,768.0,En Couple,2.0,false,182 NR 14,1.0,0.0,0.0
47.0,M,855.0,Célibataire,0.0,false,889 RO 37,0.0,1.0,0.0
29.0,M,1216.0,Célibataire,0.0,false,4030 TB 64,0.0,1.0,0.0
57.0,M,707.0,En Couple,4.0,false,9947 QS 17,0.0,0.0,0.0
27.0,M,979.0,En Couple,2.0,true,8282 YZ 56,0.0,0.0,1.0
30.0,M,1190.0,En Couple,4.0,false,6314 KP 81,0.0,0.0,0.0
31.0,M,1028.0,Célibataire,0.0,false,6701 NV 87,0.0,1.0,0.0
54.0,M,1386.0,En Couple,3.0,false,1770 AW 42,0.0,0.0,0.0
26.0,M,991.0,En Couple,2.0,true,879 IJ 10,0.0,0.0,1.0
29.0,M,586.0,Célibataire,1.0,false,263 ZQ 75,0.0,1.0,0.0
75.0,M,591.0,En Couple,1.0,false,8229 QD 23,0.0,0.0,0.0
51.0,M,1133.0,En Couple,4.0,false,1188 GW 74,0.0,0.0,0.0
58.0,M,1128.0,En Couple,4.0,true,7834 ZP 25,0.0,0.0,1.0
30.0,M,590.0,En Couple,0.0,false,3491 XS 77,0.0,0.0,0.0
54.0,M,1373.0,En Couple,2.0,false,8659 CH 96,0.0,0.0,0.0
42.0,F,993.0,En Couple,0.0,true,6974 HN 94,1.0,0.0,1.0
35.0,M,827.0,En Couple,1.0,false,3338 QS 90,0.0,0.0,0.0
45.0,M,760.0,En Couple,3.0,false,6208 TT 24,0.0,0.0,0.0
45.0,F,576.0,En Couple,1.0,false,4065 KP 11,1.0,0.0,0.0
57.0,F,572.0,Célibataire,1.0,false,4760 RU 82,1.0,1.0,0.0
45.0,M,1271.0,Célibataire,0.0,false,1273 HZ 71,0.0,1.0,0.0
82.0,M,1314.0,En Couple,0.0,false,8724 DY 85,0.0,0.0,0.0
38.0,F,550.0,En Couple,0.0,false,8016 TS 80,1.0,0.0,0.0
31.0,M,552.0,Célibataire,0.0,false,5571 BE 18,0.0,1.0,0.0
60.0,M,566.0,En Couple,1.0,false,3147 CF 65,0.0,0.0,0.0
46.0,M,838.0,En Couple,3.0,false,1023 JL 45,0.0,0.0,0.0
34.0,M,761.0,En Couple,2.0,false,7951 ES 80,0.0,0.0,0.0
47.0,M,717.0,En Couple,2.0,false,9465 FH 32,0.0,0.0,0.0
71.0,M,599.0,En Couple,0.0,false,5579 AH 16,0.0,0.0,0.0
23.0,F,1091.0,En Couple,2.0,true,8945 UB 63,1.0,0.0,1.0
73.0,M,1107.0,Célibataire,0.0,false,3254 GU 86,0.0,1.0,0.0
41.0,F,581.0,En Couple,1.0,false,6974 PU 64,1.0,0.0,0.0
41.0,F,753.0,Célibataire,0.0,false,8355 OR 68,1.0,1.0,0.0
52.0,F,718.0,En Couple,3.0,false,6760 DK 29,1.0,0.0,0.0
37.0,F,1042.0,En Couple,0.0,false,6691 CZ 60,1.0,0.0,0.0
61.0,M,743.0,Célibataire,0.0,false,1060 EI 98,0.0,1.0,0.0
43.0,M,1156.0,En Couple,3.0,true,7294 QQ 17,0.0,0.0,1.0
40.0,M,586.0,En Couple,3.0,false,2636 GQ 50,0.0,0.0,0.0
57.0,M,963.0,Célibataire,0.0,false,885 BO 73,0.0,1.0,0.0
19.0,M,929.0,En Couple,3.0,false,8278 VW 18,0.0,0.0,0.0
27.0,F,794.0,En Couple,3.0,false,3003 YY 22,1.0,0.0,0.0
58.0,M,1070.0,En Couple,0.0,false,4905 DO 21,0.0,0.0,0.0
26.0,F,599.0,En Couple,0.0,false,8405 GI 33,1.0,0.0,0.0
21.0,M,976.0,Célibataire,0.0,false,2134 GJ 78,0.0,1.0,0.0
82.0,M,1070.0,Célibataire,0.0,false,9392 XY 74,0.0,1.0,0.0
81.0,M,992.0,En Couple,0.0,false,1558 EM 67,0.0,0.0,0.0
33.0,M,1142.0,En Couple,0.0,false,4664 WV 91,0.0,0.0,0.0
60.0,F,582.0,En Couple,4.0,true,1506 RH 26,1.0,0.0,1.0
83.0,M,1058.0,En Couple,3.0,false,425 WS 83,0.0,0.0,0.0
24.0,M,1165.0,Célibataire,0.0,false,4282 IM 37,0.0,1.0,0.0
58.0,M,570.0,En Couple,3.0,true,5196 WG 51,0.0,0.0,1.0
26.0,M,576.0,En Couple,0.0,false,4097 HU 56,0.0,0.0,0.0
74.0,M,555.0,Célibataire,3.0,false,8174 BO 78,0.0,1.0,0.0
23.0,M,957.0,En Couple,0.0,true,1388 AT 26,0.0,0.0,1.0
25.0,M,1175.0,En Couple,2.0,false,5768 HK 46,0.0,0.0,0.0
37.0,F,776.0,Célibataire,0.0,false,2802 RT 72,1.0,1.0,0.0
46.0,M,1237.0,Célibataire,0.0,false,1344 VV 13,0.0,1.0,0.0
82.0,M,1074.0,En Couple,4.0,false,3152 EJ 39,0.0,0.0,0.0
55.0,M,553.0,En Couple,2.0,false,5245 YV 70,0.0,0.0,0.0
18.0,F,1144.0,En Couple,1.0,false,5495 HI 48,1.0,0.0,0.0
35.0,M,571.0,En Couple,0.0,false,6710 IA 63,0.0,0.0,0.0
50.0,F,591.0,Célibataire,3.0,false,2261 XM 90,1.0,1.0,0.0
78.0,M,588.0,Célibataire,0.0,false,7638 PP 73,0.0,1.0,0.0
46.0,F,968.0,En Couple,0.0,true,2271 GV 24,1.0,0.0,1.0
56.0,F,866.0,En Couple,2.0,false,6793 ZC 73,1.0,0.0,0.0
24.0,M,1389.0,En Couple,0.0,false,6057 XY 31,0.0,0.0,0.0
40.0,M,1201.0,Célibataire,0.0,false,2088 IS 32,0.0,1.0,0.0
68.0,M,559.0,En Couple,4.0,false,3847 AU 25,0.0,0.0,0.0
22.0,F,562.0,Célibataire,0.0,false,1548 CS 53,1.0,1.0,0.0
22.0,M,1374.0,En Couple,4.0,false,6948 AH 21,0.0,0.0,0.0
59.0,M,595.0,Célibataire,0.0,false,1275 QW 54,0.0,1.0,0.0
49.0,M,591.0,En Couple,0.0,false,4104 KH 77,0.0,0.0,0.0
44.0,M,977.0,En Couple,0.0,false,224 IU 84,0.0,0.0,0.0
19.0,M,725.0,Célibataire,0.0,false,5481 DU 83,0.0,1.0,0.0
37.0,M,1108.0,En Couple,3.0,false,8633 PI 32,0.0,0.0,0.0
27.0,M,782.0,Célibataire,0.0,false,4622 OL 77,0.0,1.0,0.0
73.0,M,845.0,En Couple,1.0,false,3299 JJ 74,0.0,0.0,0.0
55.0,M,1300.0,Célibataire,0.0,false,8572 CF 21,0.0,1.0,0.0
40.0,M,590.0,Célibataire,1.0,false,9622 HD 94,0.0,1.0,0.0
68.0,M,1011.0,Célibataire,0.0,false,5718 YM 43,0.0,1.0,0.0
81.0,M,824.0,Célibataire,0.0,false,577 UN 69,0.0,1.0,0.0
65.0,M,849.0,En Couple,0.0,false,5197 XB 88,0.0,0.0,0.0
54.0,F,570.0,En Couple,1.0,true,9406 ZK 10,1.0,0.0,1.0
63.0,M,1123.0,En Couple,2.0,true,8406 UY 83,0.0,0.0,1.0
77.0,M,588.0,En Couple,4.0,false,7682 IG 18,0.0,0.0,0.0
18.0,M,546.0,En Couple,3.0,false,9621 JY 93,0.0,0.0,0.0
28.0,M,1149.0,En Couple,4.0,false,2056 YD 91,0.0,0.0,0.0
82.0,M,794.0,Célibataire,0.0,false,8372 QS 23,0.0,1.0,0.0
73.0,M,550.0,Célibataire,0.0,false,8869 MU 18,0.0,1.0,0.0
43.0,M,1203.0,En Couple,0.0,true,4162 BN 69,0.0,0.0,1.0
74.0,F,983.0,En Couple,4.0,false,5596 PX 24,1.0,0.0,0.0
57.0,M,806.0,En Couple,2.0,false,9915 MG 16,0.0,0.0,0.0
43.0,M,792.0,En Couple,0.0,false,1238 TQ 74,0.0,0.0,0.0
50.0,M,1349.0,Célibataire,0.0,false,4952 TW 57,0.0,1.0,0.0
32.0,M,1341.0,En Couple,4.0,false,349 FV 10,0.0,0.0,0.0
29.0,M,1015.0,En Couple,2.0,false,230 WQ 79,0.0,0.0,0.0
62.0,F,559.0,Célibataire,0.0,false,5994 AL 49,1.0,1.0,0.0
35.0,M,1260.0,En Couple,1.0,false,7440 VT 24,0.0,0.0,0.0
46.0,M,583.0,En Couple,0.0,false,5206 BZ 55,0.0,0.0,0.0
54.0,M,567.0,En Couple,1.0,false,3704 UG 41,0.0,0.0,0.0
18.0,M,1103.0,Célibataire,0.0,false,1656 EM 28,0.0,1.0,0.0
26.0,M,850.0,En Couple,4.0,false,5689 HK 65,0.0,0.0,0.0
46.0,M,767.0,En Couple,0.0,false,8589 QW 69,0.0,0.0,0.0
40.0,F,598.0,En Couple,1.0,true,9064 TN 30,1.0,0.0,1.0
47.0,F,1344.0,Célibataire,0.0,false,6066 QU 13,1.0,1.0,0.0
54.0,M,1378.0,En Couple,3.0,true,2358 DN 13,0.0,0.0,1.0
47.0,M,1180.0,Célibataire,0.0,false,8110 IA 72,0.0,1.0,0.0
57.0,M,997.0,En Couple,3.0,false,1292 YB 13,0.0,0.0,0.0
41.0,F,580.0,En Couple,3.0,false,8077 XZ 18,1.0,0.0,0.0
49.0,M,753.0,En Couple,2.0,false,4369 OH 27,0.0,0.0,0.0
