immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
8545 MW 58,Mini,Copper 1.6 16V,115,courte,5,5,bleu,true,12740
2476 RD 51,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
5132 JC 36,Volvo,S80 T6,272,très longue,5,5,blanc,true,35350
344 JD 43,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
1562 QK 63,Mercedes,A200,136,moyenne,5,5,rouge,false,25900
5180 YO 26,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
1034 OU 72,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8388 IN 50,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
1844 ZY 81,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
3664 JQ 33,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
7666 DQ 77,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
2254 RV 62,Mercedes,S500,306,très longue,5,5,gris,true,70910
729 CX 70,Renault,Laguna 2.0T,170,longue,5,5,gris,true,19110
2496 KS 82,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,true,15644
487 JH 30,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
3422 OW 61,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
4798 JL 76,Mercedes,A200,136,moyenne,5,5,gris,true,18130
499 TB 50,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
3600 EY 25,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
5228 UO 66,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
6634 RX 55,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
8703 IA 70,Mercedes,S500,306,très longue,5,5,gris,true,70910
7272 RN 46,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9512 XB 46,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
771 KI 14,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
1945 NV 14,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
9444 KF 98,Mercedes,S500,306,très longue,5,5,rouge,true,70910
2417 BM 29,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
6048 GJ 96,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,true,34440
5554 ZG 56,BMW,M5,507,très longue,5,5,blanc,false,94800
4130 JI 32,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,false,22900
7641 LJ 11,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
9688 PE 30,Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000
9318 DQ 18,Nissan,Maxima 3.0 V6,200,très longue,5,5,bleu,false,30000
3889 ZF 23,BMW,120i,150,moyenne,5,5,blanc,true,25060
8290 ZU 84,BMW,M5,507,très longue,5,5,bleu,true,66360
5015 SJ 73,Audi,A2 1.4,75,courte,5,5,gris,true,12817
8621 UC 93,BMW,M5,507,très longue,5,5,bleu,false,94800
6374 SW 57,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
7045 EC 85,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,bleu,false,22900
3760 CT 37,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
4657 NC 86,Daihatsu,Cuore 1.0,58,courte,5,3,gris,false,8850
642 UF 63,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
1078 QV 96,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
2689 PV 52,BMW,M5,507,très longue,5,5,blanc,false,94800
73 DX 34,Mercedes,S500,306,très longue,5,5,rouge,true,70910
2693 AQ 42,Kia,Picanto 1.1,65,courte,5,5,rouge,false,8990
218 DY 15,BMW,M5,507,très longue,5,5,bleu,false,94800
3554 UR 84,BMW,120i,150,moyenne,5,5,gris,true,25060
2737 LK 50,Volvo,S80 T6,272,très longue,5,5,noir,false,50500
3108 ZF 95,Volkswagen,New Beatle 1.8,110,moyenne,5,5,bleu,false,26630
3385 UN 95,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
4133 JF 68,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
2665 JR 81,Seat,Toledo 1.6,102,longue,5,5,noir,false,18880
2474 ON 70,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
9461 SF 37,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
3564 PA 30,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
3215 NI 18,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
502 ZT 44,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
454 PJ 28,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7592 RI 70,BMW,120i,150,moyenne,5,5,blanc,true,25060
5913 YL 16,Volvo,S80 T6,272,très longue,5,5,bleu,true,35350
9496 IA 50,BMW,M5,507,très longue,5,5,blanc,true,66360
9317 HK 71,Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
2857 PC 98,BMW,M5,507,très longue,5,5,blanc,true,66360
2402 PX 65,BMW,M5,507,très longue,5,5,noir,false,94800
9710 XC 79,Audi,A2 1.4,75,courte,5,5,gris,false,18310
2759 XS 24,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
1044 UL 47,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
8553 UG 14,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
6114 KP 48,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
31 PU 98,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,true,8540
43 HI 49,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
9360 CX 46,Saab,9.3 1.8T,150,longue,5,5,rouge,true,27020
1423 IJ 43,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
9753 QY 52,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
6823 KH 12,Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000
6109 GV 86,BMW,120i,150,moyenne,5,5,noir,true,25060
2662 VN 24,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
4856 SO 73,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
3120 LS 55,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
7495 KF 45,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9818 PG 43,Mercedes,A200,136,moyenne,5,5,bleu,false,25900
8206 WZ 67,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
9784 HB 64,Mercedes,A200,136,moyenne,5,5,rouge,false,25900
2508 FY 59,Mercedes,S500,306,très longue,5,5,bleu,true,70910
4545 QK 83,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
4795 WL 31,BMW,M5,507,très longue,5,5,blanc,false,94800
6441 SR 14,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
496 FV 38,BMW,120i,150,moyenne,5,5,noir,true,25060
819 ME 14,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
7500 NR 96,Mercedes,S500,306,très longue,5,5,gris,false,101300
8256 UG 91,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
7980 LZ 47,BMW,M5,507,très longue,5,5,blanc,false,94800
4011 CM 41,BMW,M5,507,très longue,5,5,bleu,false,94800
4107 HP 88,BMW,M5,507,très longue,5,5,noir,false,94800
6849 QA 34,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
8710 KC 60,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
511 SS 21,Saab,9.3 1.8T,150,longue,5,5,gris,true,27020
2572 KL 11,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
8136 GH 72,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440
1774 UO 84,BMW,M5,507,très longue,5,5,bleu,true,66360
2988 QV 97,Volvo,S80 T6,272,très longue,5,5,blanc,true,35350
681 VM 10,Dacia,Logan 1.6 MPI,90,moyenne,5,5,blanc,false,7500
9326 MF 37,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
9172 AX 64,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
5170 ED 11,Audi,A2 1.4,75,courte,5,5,noir,false,18310
11 XJ 48,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
4203 OC 68,Mercedes,S500,306,très longue,5,5,bleu,true,70910
4303 ZW 14,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
9659 EW 63,Mercedes,A200,136,moyenne,5,5,gris,true,18130
6599 IO 14,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
491 SG 16,Nissan,Maxima 3.0 V6,200,très longue,5,5,bleu,false,30000
8456 XM 68,BMW,M5,507,très longue,5,5,blanc,false,94800
9379 UV 33,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440
5792 ZL 59,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
6798 XB 39,Nissan,Primera 1.6,109,longue,5,5,gris,false,18650
2974 BY 93,BMW,M5,507,très longue,5,5,noir,false,94800
1147 WT 94,Nissan,Almera 1.8,115,moyenne,5,5,blanc,false,16450
232 KF 66,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
8493 OV 18,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
4683 RH 94,Dacia,Logan 1.6 MPI,90,moyenne,5,5,rouge,false,7500
8232 EK 72,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
3822 ZL 40,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
1011 PS 18,Mercedes,S500,306,très longue,5,5,noir,true,70910
1077 GI 34,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
5339 EG 25,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
5001 XQ 22,Audi,A2 1.4,75,courte,5,5,noir,true,12817
4325 VF 47,Renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110
6412 AE 10,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
1089 SP 70,Audi,A2 1.4,75,courte,5,5,noir,false,18310
1167 GZ 15,Volkswagen,Polo 1.2 6V,55,courte,5,3,gris,false,12200
2492 CO 82,BMW,M5,507,très longue,5,5,blanc,true,66360
2118 NJ 28,BMW,120i,150,moyenne,5,5,bleu,true,25060
4529 NQ 39,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
140 HA 76,Mercedes,S500,306,très longue,5,5,gris,true,70910
2590 NQ 52,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
7929 GZ 36,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
5769 UM 38,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
1883 DE 93,Mini,Copper 1.6 16V,115,courte,5,5,blanc,false,18200
3610 PM 43,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
5326 WM 77,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
6106 HX 17,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
3614 ZR 20,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
7729 MA 25,BMW,M5,507,très longue,5,5,blanc,false,94800
8418 FP 19,Volvo,S80 T6,272,très longue,5,5,bleu,true,35350
1088 JB 27,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,true,25970
4736 GT 28,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
9599 OK 96,Volvo,S80 T6,272,très longue,5,5,noir,false,50500
1834 LF 97,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
1801 GF 96,BMW,M5,507,très longue,5,5,bleu,true,66360
5348 RS 48,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
3066 QE 93,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7468 LZ 64,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
8349 FZ 70,BMW,120i,150,moyenne,5,5,noir,true,25060
505 XL 31,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
8881 AA 29,BMW,M5,507,très longue,5,5,noir,true,66360
6081 HW 16,Audi,A2 1.4,75,courte,5,5,gris,false,18310
609 MJ 75,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
3173 JV 77,BMW,M5,507,très longue,5,5,noir,false,94800
7571 CK 44,Audi,A2 1.4,75,courte,5,5,noir,false,18310
6905 KH 39,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
6016 VB 66,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
4692 QJ 22,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
9331 IO 31,BMW,M5,507,très longue,5,5,gris,false,94800
6865 VW 88,BMW,M5,507,très longue,5,5,blanc,true,66360
358 KC 48,Mercedes,S500,306,très longue,5,5,bleu,false,101300
7215 SK 90,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
4329 IX 78,Mercedes,S500,306,très longue,5,5,gris,true,70910
9660 FW 27,BMW,120i,150,moyenne,5,5,bleu,true,25060
5753 AP 96,Audi,A2 1.4,75,courte,5,5,gris,false,18310
2700 RT 90,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
6101 PA 29,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
3568 XR 60,BMW,M5,507,très longue,5,5,gris,true,66360
2846 EB 65,BMW,M5,507,très longue,5,5,noir,true,66360
9115 IH 51,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
6806 HY 86,Mercedes,S500,306,très longue,5,5,rouge,true,70910
5379 RX 61,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
9311 AF 58,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
1717 NL 64,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
2513 HA 14,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
8039 PU 93,Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990
9830 OW 16,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
2567 UI 89,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
8610 BR 36,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
2636 GS 93,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
5324 FB 20,Audi,A2 1.4,75,courte,5,5,gris,false,18310
9519 YF 88,Volvo,S80 T6,272,très longue,5,5,rouge,true,35350
4064 JN 72,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
3871 IP 40,Mercedes,S500,306,très longue,5,5,blanc,false,101300
8617 PK 58,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
623 PZ 31,Renault,Laguna 2.0T,170,longue,5,5,bleu,false,27300
6702 MC 13,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
7898 WD 34,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
6328 EP 18,Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000
6878 SK 49,Volvo,S80 T6,272,très longue,5,5,noir,true,35350
1851 LT 31,Saab,9.3 1.8T,150,longue,5,5,gris,false,38600
3679 DW 36,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
5296 KK 72,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
1537 DD 64,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
2952 EI 27,BMW,M5,507,très longue,5,5,noir,false,94800
7020 ED 83,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,true,8540
8547 OP 55,Volvo,S80 T6,272,très longue,5,5,noir,false,50500
7381 KN 84,Audi,A2 1.4,75,courte,5,5,noir,true,12817
6205 XM 18,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
6133 CV 83,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,false,22900
3769 RH 17,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
4304 PG 61,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
6568 ET 93,Mini,Copper 1.6 16V,115,courte,5,5,gris,false,18200
125 YU 71,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
5195 HN 48,BMW,M5,507,très longue,5,5,bleu,false,94800
4672 TF 73,Kia,Picanto 1.1,65,courte,5,5,rouge,false,8990
9496 LJ 30,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
5561 TP 55,Mercedes,S500,306,très longue,5,5,noir,true,70910
9101 CC 23,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
765 NE 64,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
5382 QS 83,Renault,Megane 2.0 16V,135,moyenne,5,5,noir,false,22350
286 AB 96,Fiat,Croma 2.2,147,longue,5,5,noir,false,24780
5586 JD 57,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
4855 OT 36,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,false,37100
3340 BO 65,BMW,M5,507,très longue,5,5,bleu,false,94800
4960 ED 42,BMW,M5,507,très longue,5,5,blanc,true,66360
4080 OD 37,Renault,Vel Satis 3.5 V6,245,très longue,5,5,rouge,false,49200
3512 HB 68,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
9148 LH 15,Audi,A2 1.4,75,courte,5,5,noir,false,18310
5607 MG 49,BMW,M5,507,très longue,5,5,bleu,true,66360
7957 TT 91,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
2006 BH 60,Ford,Mondeo 1.8,125,longue,5,5,noir,false,23900
6580 FU 62,Audi,A2 1.4,75,courte,5,5,gris,false,18310
3732 BL 42,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
2865 TP 74,BMW,M5,507,très longue,5,5,gris,false,94800
913 TM 88,BMW,M5,507,très longue,5,5,noir,false,94800
4406 GA 94,Audi,A2 1.4,75,courte,5,5,noir,false,18310
940 IO 49,Volvo,S80 T6,272,très longue,5,5,blanc,false,50500
9500 PA 59,Mercedes,S500,306,très longue,5,5,noir,true,70910
3567 CP 46,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
7355 CN 92,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
9291 IE 38,BMW,120i,150,moyenne,5,5,rouge,true,25060
5113 FV 44,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
515 KF 42,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,true,34440
4997 UF 59,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9247 VL 87,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
4155 IU 74,BMW,M5,507,très longue,5,5,rouge,true,66360
4422 NA 17,BMW,M5,507,très longue,5,5,gris,true,66360
6107 CD 20,Ford,Mondeo 1.8,125,longue,5,5,blanc,false,23900
5049 PB 57,BMW,M5,507,très longue,5,5,noir,true,66360
3107 EL 98,BMW,M5,507,très longue,5,5,blanc,false,94800
2201 TU 75,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
