marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
Audi,A2 1.4,2594 JX 59,75,courte,5,5,bleu,false,18310,3
Volkswagen,Polo 1.2 6V,6515 BS 13,55,courte,5,3,bleu,false,12200,1
Volvo,S80 T6,2725 BN 24,272,très longue,5,5,bleu,false,50500,2
Audi,A2 1.4,9884 XU 38,75,courte,5,5,bleu,false,18310,3
Nissan,Primera 1.6,4718 LK 11,109,longue,5,5,bleu,false,18650,0
Volvo,S80 T6,7304 XF 18,272,très longue,5,5,gris,false,50500,2
Volkswagen,Polo 1.2 6V,8968 EU 38,55,courte,5,3,noir,false,12200,1
Peugeot,1007 1.4,5942 RF 74,75,courte,5,5,blanc,false,13750,3
Volvo,S80 T6,9289 YP 85,272,très longue,5,5,gris,false,50500,2
Volkswagen,Golf 2.0 FSI,6429 ST 37,150,moyenne,5,5,gris,false,22900,0
Jaguar,X-Type 2.5 V6,2167 VR 40,197,longue,5,5,rouge,false,37100,0
Jaguar,X-Type 2.5 V6,765 VG 43,197,longue,5,5,noir,false,37100,0
BMW,M5,8953 GX 29,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,7789 ET 59,75,courte,5,5,gris,false,18310,3
BMW,M5,9438 JT 85,507,très longue,5,5,gris,false,94800,2
BMW,M5,8211 GT 29,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,2725 ZM 67,75,courte,5,5,noir,false,18310,3
Renault,Vel Satis 3.5 V6,9921 HS 30,245,très longue,5,5,rouge,false,49200,2
Renault,Megane 2.0 16V,8668 EF 43,135,moyenne,5,5,bleu,false,22350,0
Saab,9.3 1.8T,495 DV 50,150,longue,5,5,gris,false,38600,0
Daihatsu,Cuore 1.0,7833 UX 67,58,courte,5,3,rouge,false,8850,1
BMW,M5,495 FB 47,507,très longue,5,5,blanc,false,94800,2
BMW,M5,2471 SO 44,507,très longue,5,5,bleu,false,94800,2
Nissan,Maxima 3.0 V6,4928 IL 28,200,très longue,5,5,bleu,false,30000,2
BMW,M5,9784 MY 18,507,très longue,5,5,blanc,false,94800,2
Renault,Laguna 2.0T,780 NP 52,170,longue,5,5,noir,false,27300,0
Volkswagen,Golf 2.0 FSI,8405 PJ 58,150,moyenne,5,5,rouge,false,22900,0
Skoda,Superb 2.8 V6,8823 KL 47,193,très longue,5,5,gris,false,31790,2
Volvo,S80 T6,9672 ZJ 86,272,très longue,5,5,blanc,false,50500,2
Peugeot,1007 1.4,8249 ZG 12,75,courte,5,5,gris,false,13750,3
Volkswagen,Polo 1.2 6V,2304 HW 62,55,courte,5,3,noir,false,12200,1
Renault,Megane 2.0 16V,4034 XU 19,135,moyenne,5,5,noir,false,22350,0
Audi,A2 1.4,9770 KA 84,75,courte,5,5,bleu,false,18310,3
Saab,9.3 1.8T,6671 JN 86,150,longue,5,5,bleu,false,38600,0
Renault,Vel Satis 3.5 V6,2298 RJ 31,245,très longue,5,5,noir,false,49200,2
Audi,A2 1.4,4596 XN 44,75,courte,5,5,blanc,false,18310,3
BMW,M5,7728 DY 10,507,très longue,5,5,bleu,false,94800,2
Peugeot,1007 1.4,541 EP 21,75,courte,5,5,rouge,false,13750,3
Volvo,S80 T6,2065 EA 75,272,très longue,5,5,rouge,false,50500,2
Volvo,S80 T6,8355 OD 54,272,très longue,5,5,blanc,false,50500,2
Audi,A2 1.4,5382 KH 11,75,courte,5,5,blanc,false,18310,3
Ford,Mondeo 1.8,7993 XI 96,125,longue,5,5,bleu,false,23900,0
Mini,Copper 1.6 16V,6327 EJ 91,115,courte,5,5,rouge,false,18200,3
Audi,A3 2.0 FSI,4329 QG 36,150,moyenne,5,5,rouge,false,28500,0
Jaguar,X-Type 2.5 V6,6359 YN 78,197,longue,5,5,blanc,false,37100,0
Skoda,Superb 2.8 V6,4056 EV 48,193,très longue,5,5,rouge,false,31790,2
Audi,A2 1.4,9370 TS 31,75,courte,5,5,blanc,false,18310,3
Renault,Vel Satis 3.5 V6,5542 CL 84,245,très longue,5,5,gris,false,49200,2
Volvo,S80 T6,4899 JM 78,272,très longue,5,5,noir,false,50500,2
Mercedes,A200,1073 DL 47,136,moyenne,5,5,noir,false,25900,0
Jaguar,X-Type 2.5 V6,4731 PZ 29,197,longue,5,5,rouge,false,37100,0
BMW,M5,149 TE 60,507,très longue,5,5,noir,false,94800,2
Nissan,Maxima 3.0 V6,5041 HJ 49,200,très longue,5,5,noir,false,30000,2
Volvo,S80 T6,1964 XI 22,272,très longue,5,5,rouge,false,50500,2
Volvo,S80 T6,2680 IU 89,272,très longue,5,5,noir,false,50500,2
Renault,Megane 2.0 16V,4586 NA 10,135,moyenne,5,5,noir,false,22350,0
BMW,M5,228 GW 59,507,très longue,5,5,bleu,false,94800,2
Jaguar,X-Type 2.5 V6,2348 WV 70,197,longue,5,5,gris,false,37100,0
Ford,Mondeo 1.8,3692 HH 73,125,longue,5,5,bleu,false,23900,0
Audi,A2 1.4,1334 LN 64,75,courte,5,5,noir,false,18310,3
Fiat,Croma 2.2,1550 EL 19,147,longue,5,5,gris,false,24780,0
Audi,A2 1.4,7923 DM 88,75,courte,5,5,noir,false,18310,3
Audi,A2 1.4,6999 ZQ 38,75,courte,5,5,bleu,false,18310,3
Nissan,Primera 1.6,7009 IO 69,109,longue,5,5,blanc,false,18650,0
Jaguar,X-Type 2.5 V6,4094 LW 45,197,longue,5,5,noir,false,37100,0
Peugeot,1007 1.4,9726 FU 86,75,courte,5,5,gris,false,13750,3
Ford,Mondeo 1.8,360 IU 61,125,longue,5,5,rouge,false,23900,0
BMW,M5,7503 XN 95,507,très longue,5,5,bleu,false,94800,2
Nissan,Maxima 3.0 V6,8653 KU 61,200,très longue,5,5,noir,false,30000,2
Volkswagen,Golf 2.0 FSI,9221 SM 35,150,moyenne,5,5,blanc,false,22900,0
Nissan,Primera 1.6,783 XR 43,109,longue,5,5,blanc,false,18650,0
Volkswagen,Polo 1.2 6V,1155 YY 39,55,courte,5,3,blanc,false,12200,1
Volkswagen,Polo 1.2 6V,3691 IH 43,55,courte,5,3,noir,false,12200,1
Jaguar,X-Type 2.5 V6,802 IQ 88,197,longue,5,5,noir,false,37100,0
Volvo,S80 T6,5796 EU 45,272,très longue,5,5,bleu,false,50500,2
Volvo,S80 T6,6811 CZ 42,272,très longue,5,5,gris,false,50500,2
Audi,A2 1.4,8004 IX 39,75,courte,5,5,bleu,false,18310,3
Volvo,S80 T6,168 LR 67,272,très longue,5,5,rouge,false,50500,2
Renault,Laguna 2.0T,3864 RV 95,170,longue,5,5,blanc,false,27300,0
Volkswagen,Golf 2.0 FSI,5221 ST 20,150,moyenne,5,5,bleu,false,22900,0
Volkswagen,Polo 1.2 6V,325 GP 65,55,courte,5,3,blanc,false,12200,1
Audi,A2 1.4,2468 SL 37,75,courte,5,5,blanc,false,18310,3
Volvo,S80 T6,3163 KM 33,272,très longue,5,5,bleu,false,50500,2
Kia,Picanto 1.1,9523 CM 87,65,courte,5,5,gris,false,8990,3
Renault,Vel Satis 3.5 V6,7106 DU 97,245,très longue,5,5,bleu,false,49200,2
BMW,M5,7391 SX 84,507,très longue,5,5,rouge,false,94800,2
Volkswagen,Polo 1.2 6V,1319 LN 52,55,courte,5,3,gris,false,12200,1
Jaguar,X-Type 2.5 V6,49 HK 34,197,longue,5,5,noir,false,37100,0
Kia,Picanto 1.1,3533 HM 85,65,courte,5,5,bleu,false,8990,3
Jaguar,X-Type 2.5 V6,6357 FG 21,197,longue,5,5,rouge,false,37100,0
Audi,A2 1.4,3791 CW 90,75,courte,5,5,gris,false,18310,3
Volkswagen,Golf 2.0 FSI,7125 VF 57,150,moyenne,5,5,blanc,false,22900,0
Audi,A2 1.4,1910 QU 20,75,courte,5,5,noir,false,18310,3
Peugeot,1007 1.4,1511 RZ 23,75,courte,5,5,bleu,false,13750,3
BMW,M5,8217 AY 13,507,très longue,5,5,gris,false,94800,2
Renault,Vel Satis 3.5 V6,4682 FZ 20,245,très longue,5,5,gris,false,49200,2
Renault,Vel Satis 3.5 V6,1104 YJ 62,245,très longue,5,5,noir,false,49200,2
BMW,M5,378 QN 36,507,très longue,5,5,bleu,false,94800,2
Fiat,Croma 2.2,2568 VU 81,147,longue,5,5,bleu,false,24780,0
Peugeot,1007 1.4,3792 DL 71,75,courte,5,5,gris,false,13750,3
Skoda,Superb 2.8 V6,6250 IZ 36,193,très longue,5,5,bleu,false,31790,2
Renault,Vel Satis 3.5 V6,5476 LJ 79,245,très longue,5,5,blanc,false,49200,2
Jaguar,X-Type 2.5 V6,8575 IC 48,197,longue,5,5,gris,false,37100,0
Ford,Mondeo 1.8,6407 VT 38,125,longue,5,5,gris,false,23900,0
Saab,9.3 1.8T,2142 EG 47,150,longue,5,5,gris,false,38600,0
Audi,A2 1.4,8390 AD 13,75,courte,5,5,bleu,false,18310,3
Seat,Toledo 1.6,9825 BU 11,102,longue,5,5,noir,false,18880,0
Volkswagen,Polo 1.2 6V,7734 JC 44,55,courte,5,3,noir,false,12200,1
Jaguar,X-Type 2.5 V6,9379 HJ 49,197,longue,5,5,rouge,false,37100,0
Nissan,Maxima 3.0 V6,854 MM 42,200,très longue,5,5,blanc,false,30000,2
Volvo,S80 T6,4791 OM 28,272,très longue,5,5,bleu,false,50500,2
Nissan,Maxima 3.0 V6,884 UC 34,200,très longue,5,5,blanc,false,30000,2
Seat,Toledo 1.6,4331 UO 41,102,longue,5,5,noir,false,18880,0
Jaguar,X-Type 2.5 V6,5511 VQ 56,197,longue,5,5,gris,false,37100,0
Ford,Mondeo 1.8,6152 CI 72,125,longue,5,5,blanc,false,23900,0
BMW,M5,4486 KH 79,507,très longue,5,5,blanc,false,94800,2
Mercedes,S500,1256 TB 30,306,très longue,5,5,gris,false,101300,2
Volvo,S80 T6,1210 PC 55,272,très longue,5,5,rouge,false,50500,2
Volkswagen,Golf 2.0 FSI,956 KW 71,150,moyenne,5,5,noir,false,22900,0
Audi,A2 1.4,537 SN 39,75,courte,5,5,noir,false,18310,3
Audi,A2 1.4,5396 QS 20,75,courte,5,5,blanc,false,18310,3
Ford,Mondeo 1.8,3075 AQ 35,125,longue,5,5,noir,false,23900,0
Jaguar,X-Type 2.5 V6,95 CU 56,197,longue,5,5,noir,false,37100,0
Fiat,Croma 2.2,8568 LQ 44,147,longue,5,5,bleu,false,24780,0
Jaguar,X-Type 2.5 V6,9767 ZQ 33,197,longue,5,5,rouge,false,37100,0
Fiat,Croma 2.2,4252 FT 46,147,longue,5,5,bleu,false,24780,0
BMW,M5,4619 MN 77,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,5762 JH 43,75,courte,5,5,noir,false,18310,3
Audi,A2 1.4,5793 AE 60,75,courte,5,5,bleu,false,18310,3
BMW,M5,4040 PH 57,507,très longue,5,5,blanc,false,94800,2
Jaguar,X-Type 2.5 V6,3378 EQ 41,197,longue,5,5,noir,false,37100,0
Nissan,Primera 1.6,1307 ZY 49,109,longue,5,5,bleu,false,18650,0
Renault,Laguna 2.0T,9194 AV 32,170,longue,5,5,noir,false,27300,0
Ford,Mondeo 1.8,5243 WM 48,125,longue,5,5,rouge,false,23900,0
Audi,A2 1.4,8186 YY 77,75,courte,5,5,gris,false,18310,3
Mercedes,S500,7647 RA 71,306,très longue,5,5,noir,false,101300,2
Seat,Toledo 1.6,5677 YW 27,102,longue,5,5,blanc,false,18880,0
Audi,A2 1.4,2585 YY 19,75,courte,5,5,blanc,false,18310,3
Volkswagen,Golf 2.0 FSI,3092 JZ 86,150,moyenne,5,5,blanc,false,22900,0
Fiat,Croma 2.2,4771 VV 94,147,longue,5,5,bleu,false,24780,0
Volkswagen,Golf 2.0 FSI,1748 NG 50,150,moyenne,5,5,noir,false,22900,0
Fiat,Croma 2.2,1448 YQ 89,147,longue,5,5,gris,false,24780,0
Volvo,S80 T6,9381 EA 23,272,très longue,5,5,bleu,false,50500,2
Audi,A2 1.4,6055 CM 76,75,courte,5,5,blanc,false,18310,3
Nissan,Maxima 3.0 V6,3197 LN 61,200,très longue,5,5,blanc,false,30000,2
Dacia,Logan 1.6 MPI,3943 ZI 16,90,moyenne,5,5,bleu,false,7500,0
BMW,M5,5364 OM 95,507,très longue,5,5,rouge,false,94800,2
Renault,Megane 2.0 16V,889 QH 90,135,moyenne,5,5,rouge,false,22350,0
Volkswagen,Polo 1.2 6V,6158 XT 67,55,courte,5,3,bleu,false,12200,1
Jaguar,X-Type 2.5 V6,9646 DA 64,197,longue,5,5,gris,false,37100,0
Volkswagen,Golf 2.0 FSI,3090 ZU 45,150,moyenne,5,5,blanc,false,22900,0
BMW,M5,8679 XG 68,507,très longue,5,5,rouge,false,94800,2
Peugeot,1007 1.4,1561 BU 69,75,courte,5,5,gris,false,13750,3
Audi,A2 1.4,7733 BQ 33,75,courte,5,5,gris,false,18310,3
Volkswagen,Polo 1.2 6V,6090 ZF 33,55,courte,5,3,blanc,false,12200,1
Daihatsu,Cuore 1.0,7722 YV 83,58,courte,5,3,noir,false,8850,1
Ford,Mondeo 1.8,6192 WG 83,125,longue,5,5,rouge,false,23900,0
Renault,Vel Satis 3.5 V6,7721 JZ 98,245,très longue,5,5,gris,false,49200,2
Audi,A2 1.4,5961 CE 90,75,courte,5,5,gris,false,18310,3
Jaguar,X-Type 2.5 V6,8114 MD 68,197,longue,5,5,gris,false,37100,0
Volkswagen,New Beatle 1.8,6447 GT 62,110,moyenne,5,5,gris,false,26630,0
BMW,M5,7653 UL 71,507,très longue,5,5,blanc,false,94800,2
BMW,M5,428 AO 94,507,très longue,5,5,rouge,false,94800,2
Nissan,Almera 1.8,2559 KN 17,115,moyenne,5,5,blanc,false,16450,0
BMW,M5,3617 LE 20,507,très longue,5,5,gris,false,94800,2
Volkswagen,Golf 2.0 FSI,7771 FP 90,150,moyenne,5,5,noir,false,22900,0
Ford,Mondeo 1.8,2801 NH 73,125,longue,5,5,rouge,false,23900,0
Volvo,S80 T6,29 DK 60,272,très longue,5,5,gris,false,50500,2
Volkswagen,Polo 1.2 6V,5278 CT 33,55,courte,5,3,rouge,false,12200,1
Audi,A2 1.4,2031 QL 77,75,courte,5,5,bleu,false,18310,3
Volkswagen,Polo 1.2 6V,5303 DJ 34,55,courte,5,3,noir,false,12200,1
Volkswagen,New Beatle 1.8,4661 HN 70,110,moyenne,5,5,blanc,false,26630,0
Volkswagen,Polo 1.2 6V,4916 RL 28,55,courte,5,3,rouge,false,12200,1
Jaguar,X-Type 2.5 V6,2101 MS 79,197,longue,5,5,rouge,false,37100,0
Volkswagen,Polo 1.2 6V,5224 VG 21,55,courte,5,3,bleu,false,12200,1
Volkswagen,Polo 1.2 6V,7 NH 47,55,courte,5,3,bleu,false,12200,1
BMW,M5,753 SP 88,507,très longue,5,5,noir,false,94800,2
Ford,Mondeo 1.8,9076 ZC 27,125,longue,5,5,gris,false,23900,0
Renault,Vel Satis 3.5 V6,5807 WH 91,245,très longue,5,5,noir,false,49200,2
Volkswagen,Polo 1.2 6V,350 JZ 46,55,courte,5,3,gris,false,12200,1
Mercedes,S500,9249 TK 45,306,très longue,5,5,blanc,false,101300,2
BMW,M5,715 GD 97,507,très longue,5,5,blanc,false,94800,2
Mercedes,S500,2773 IX 93,306,très longue,5,5,rouge,false,101300,2
Jaguar,X-Type 2.5 V6,1206 DQ 95,197,longue,5,5,bleu,false,37100,0
Nissan,Almera 1.8,8029 CC 19,115,moyenne,5,5,gris,false,16450,0
Jaguar,X-Type 2.5 V6,3545 IQ 58,197,longue,5,5,rouge,false,37100,0
Mercedes,S500,4613 KC 80,306,très longue,5,5,gris,false,101300,2
BMW,M5,56 AM 66,507,très longue,5,5,blanc,false,94800,2
Fiat,Croma 2.2,4269 EV 84,147,longue,5,5,blanc,false,24780,0
Renault,Vel Satis 3.5 V6,2060 HP 49,245,très longue,5,5,gris,false,49200,2
BMW,M5,5130 ZY 86,507,très longue,5,5,gris,false,94800,2
Volvo,S80 T6,6900 HZ 52,272,très longue,5,5,bleu,false,50500,2
Peugeot,1007 1.4,4566 JU 46,75,courte,5,5,gris,false,13750,3
Audi,A2 1.4,1968 DP 14,75,courte,5,5,gris,false,18310,3
Audi,A2 1.4,5570 NN 70,75,courte,5,5,gris,false,18310,3
Jaguar,X-Type 2.5 V6,8758 VE 37,197,longue,5,5,gris,false,37100,0
Nissan,Primera 1.6,8538 SO 44,109,longue,5,5,blanc,false,18650,0
Nissan,Almera 1.8,2404 QB 13,115,moyenne,5,5,noir,false,16450,0
Mercedes,S500,959 IH 77,306,très longue,5,5,gris,false,101300,2
Volkswagen,Polo 1.2 6V,3599 HJ 92,55,courte,5,3,rouge,false,12200,1
Volkswagen,Golf 2.0 FSI,5956 TV 27,150,moyenne,5,5,noir,false,22900,0
Audi,A2 1.4,6980 HD 26,75,courte,5,5,noir,false,18310,3
Renault,Vel Satis 3.5 V6,3789 QS 92,245,très longue,5,5,gris,false,49200,2
Audi,A2 1.4,8696 ED 45,75,courte,5,5,bleu,false,18310,3
Audi,A2 1.4,8356 TD 91,75,courte,5,5,blanc,false,18310,3
Volvo,S80 T6,2349 MH 39,272,très longue,5,5,bleu,false,50500,2
Volvo,S80 T6,8785 TY 55,272,très longue,5,5,rouge,false,50500,2
Ford,Mondeo 1.8,2524 TX 35,125,longue,5,5,rouge,false,23900,0
Volvo,S80 T6,7425 CQ 59,272,très longue,5,5,bleu,false,50500,2
Renault,Vel Satis 3.5 V6,1739 WI 75,245,très longue,5,5,noir,false,49200,2
Peugeot,1007 1.4,3088 QG 69,75,courte,5,5,noir,false,13750,3
Seat,Toledo 1.6,4370 PH 50,102,longue,5,5,blanc,false,18880,0
Renault,Vel Satis 3.5 V6,3569 PL 93,245,très longue,5,5,blanc,false,49200,2
Fiat,Croma 2.2,5122 YV 47,147,longue,5,5,noir,false,24780,0
Kia,Picanto 1.1,1126 VW 28,65,courte,5,5,noir,false,8990,3
Ford,Mondeo 1.8,6574 KY 36,125,longue,5,5,blanc,false,23900,0
Mercedes,S500,4862 ZB 60,306,très longue,5,5,blanc,false,101300,2
Volkswagen,Polo 1.2 6V,7065 VY 97,55,courte,5,3,noir,false,12200,1
Nissan,Maxima 3.0 V6,8116 XI 17,200,très longue,5,5,blanc,false,30000,2
Seat,Toledo 1.6,5541 RX 25,102,longue,5,5,bleu,false,18880,0
Nissan,Primera 1.6,1505 YO 95,109,longue,5,5,noir,false,18650,0
Audi,A2 1.4,4449 YW 28,75,courte,5,5,gris,false,18310,3
BMW,M5,539 DF 52,507,très longue,5,5,noir,false,94800,2
BMW,M5,8271 UR 94,507,très longue,5,5,noir,false,94800,2
BMW,M5,8980 XB 57,507,très longue,5,5,gris,false,94800,2
Volvo,S80 T6,671 JK 13,272,très longue,5,5,noir,false,50500,2
Renault,Laguna 2.0T,1407 AV 67,170,longue,5,5,blanc,false,27300,0
Jaguar,X-Type 2.5 V6,1324 VG 43,197,longue,5,5,bleu,false,37100,0
Fiat,Croma 2.2,6804 WC 80,147,longue,5,5,noir,false,24780,0
Volkswagen,Polo 1.2 6V,229 FG 97,55,courte,5,3,blanc,false,12200,1
Audi,A2 1.4,1117 EZ 38,75,courte,5,5,rouge,false,18310,3
BMW,M5,2409 QL 82,507,très longue,5,5,noir,false,94800,2
Audi,A2 1.4,4696 ME 44,75,courte,5,5,noir,false,18310,3
Volvo,S80 T6,423 HI 64,272,très longue,5,5,rouge,false,50500,2
Renault,Megane 2.0 16V,9632 JG 57,135,moyenne,5,5,bleu,false,22350,0
Volkswagen,Golf 2.0 FSI,3026 ZX 72,150,moyenne,5,5,blanc,false,22900,0
Renault,Vel Satis 3.5 V6,635 UD 53,245,très longue,5,5,rouge,false,49200,2
Peugeot,1007 1.4,4343 VD 44,75,courte,5,5,rouge,false,13750,3
Nissan,Almera 1.8,7240 NJ 89,115,moyenne,5,5,rouge,false,16450,0
Jaguar,X-Type 2.5 V6,1206 VT 12,197,longue,5,5,blanc,false,37100,0
Renault,Vel Satis 3.5 V6,7649 FB 90,245,très longue,5,5,rouge,false,49200,2
Skoda,Superb 2.8 V6,7439 VN 71,193,très longue,5,5,noir,false,31790,2
Peugeot,1007 1.4,7249 QM 19,75,courte,5,5,gris,false,13750,3
Daihatsu,Cuore 1.0,540 JP 16,58,courte,5,3,noir,false,8850,1
Audi,A2 1.4,1482 JN 52,75,courte,5,5,gris,false,18310,3
Renault,Megane 2.0 16V,8307 YR 77,135,moyenne,5,5,blanc,false,22350,0
Volkswagen,Golf 2.0 FSI,8402 WW 66,150,moyenne,5,5,rouge,false,22900,0
Fiat,Croma 2.2,3944 CN 92,147,longue,5,5,bleu,false,24780,0
Dacia,Logan 1.6 MPI,5176 QB 97,90,moyenne,5,5,blanc,false,7500,0
BMW,M5,2343 IK 68,507,très longue,5,5,bleu,false,94800,2
Peugeot,1007 1.4,533 ZU 47,75,courte,5,5,gris,false,13750,3
Audi,A2 1.4,4490 OQ 32,75,courte,5,5,noir,false,18310,3
BMW,M5,2265 HY 54,507,très longue,5,5,noir,false,94800,2
BMW,M5,473 NZ 18,507,très longue,5,5,noir,false,94800,2
Mercedes,S500,2318 LL 92,306,très longue,5,5,rouge,false,101300,2
Volvo,S80 T6,7958 TA 90,272,très longue,5,5,rouge,false,50500,2
Peugeot,1007 1.4,6739 BV 54,75,courte,5,5,blanc,false,13750,3
Kia,Picanto 1.1,3922 CZ 62,65,courte,5,5,bleu,false,8990,3
Jaguar,X-Type 2.5 V6,2920 EK 22,197,longue,5,5,bleu,false,37100,0
Volkswagen,Polo 1.2 6V,1845 CX 81,55,courte,5,3,rouge,false,12200,1
Renault,Vel Satis 3.5 V6,7143 IA 46,245,très longue,5,5,rouge,false,49200,2
BMW,M5,6884 KP 58,507,très longue,5,5,bleu,false,94800,2
Renault,Vel Satis 3.5 V6,1354 DE 76,245,très longue,5,5,bleu,false,49200,2
Jaguar,X-Type 2.5 V6,3542 CF 17,197,longue,5,5,gris,false,37100,0
BMW,M5,6488 IZ 69,507,très longue,5,5,blanc,false,94800,2
Fiat,Croma 2.2,1015 XO 81,147,longue,5,5,blanc,false,24780,0
Fiat,Croma 2.2,4429 BV 79,147,longue,5,5,rouge,false,24780,0
Volkswagen,Polo 1.2 6V,4429 JE 37,55,courte,5,3,blanc,false,12200,1
Nissan,Maxima 3.0 V6,6943 DO 12,200,très longue,5,5,gris,false,30000,2
Audi,A2 1.4,7353 RP 23,75,courte,5,5,noir,false,18310,3
Mercedes,S500,9803 PH 29,306,très longue,5,5,bleu,false,101300,2
Jaguar,X-Type 2.5 V6,3639 DY 61,197,longue,5,5,blanc,false,37100,0
Daihatsu,Cuore 1.0,9981 QR 37,58,courte,5,3,rouge,false,8850,1
Volkswagen,Golf 2.0 FSI,4961 RO 49,150,moyenne,5,5,bleu,false,22900,0
Dacia,Logan 1.6 MPI,3321 ZO 41,90,moyenne,5,5,gris,false,7500,0
Volkswagen,Polo 1.2 6V,4360 QA 27,55,courte,5,3,gris,false,12200,1
Fiat,Croma 2.2,8560 SS 89,147,longue,5,5,blanc,false,24780,0
Renault,Vel Satis 3.5 V6,4331 SC 58,245,très longue,5,5,gris,false,49200,2
Peugeot,1007 1.4,5873 OD 27,75,courte,5,5,noir,false,13750,3
Volvo,S80 T6,7023 LD 90,272,très longue,5,5,gris,false,50500,2
Mini,Copper 1.6 16V,5851 BW 81,115,courte,5,5,bleu,false,18200,3
Nissan,Maxima 3.0 V6,4687 EO 67,200,très longue,5,5,rouge,false,30000,2
Volkswagen,Polo 1.2 6V,9579 JT 23,55,courte,5,3,blanc,false,12200,1
Jaguar,X-Type 2.5 V6,5203 QP 51,197,longue,5,5,gris,false,37100,0
Jaguar,X-Type 2.5 V6,3405 CB 87,197,longue,5,5,gris,false,37100,0
Saab,9.3 1.8T,7428 MN 49,150,longue,5,5,noir,false,38600,0
Renault,Vel Satis 3.5 V6,6277 DB 54,245,très longue,5,5,noir,false,49200,2
Renault,Laguna 2.0T,6094 AA 86,170,longue,5,5,rouge,false,27300,0
Volkswagen,Polo 1.2 6V,6984 PO 45,55,courte,5,3,noir,false,12200,1
Fiat,Croma 2.2,9838 TW 51,147,longue,5,5,bleu,false,24780,0
Volkswagen,Golf 2.0 FSI,5206 IK 58,150,moyenne,5,5,noir,false,22900,0
Audi,A2 1.4,1652 UX 72,75,courte,5,5,blanc,false,18310,3
Nissan,Maxima 3.0 V6,1944 JP 92,200,très longue,5,5,gris,false,30000,2
