marque,nom,immatriculation,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix,prediction
BMW,M5,1250 ZC 33,507,très longue,5,5,rouge,false,94800,2
Fiat,Croma 2.2,8614 IY 91,147,longue,5,5,gris,false,24780,0
Volkswagen,Polo 1.2 6V,5491 QK 37,55,courte,5,3,rouge,false,12200,1
Mercedes,S500,3047 DR 19,306,très longue,5,5,bleu,false,101300,2
Audi,A2 1.4,2828 EN 64,75,courte,5,5,rouge,false,18310,3
Audi,A2 1.4,6541 RL 30,75,courte,5,5,rouge,false,18310,3
Mercedes,A200,7030 JC 32,136,moyenne,5,5,bleu,false,25900,0
BMW,M5,862 TA 90,507,très longue,5,5,gris,false,94800,2
Audi,A2 1.4,6108 IP 98,75,courte,5,5,noir,false,18310,3
Volvo,S80 T6,7080 PN 50,272,très longue,5,5,rouge,false,50500,2
Renault,Vel Satis 3.5 V6,9316 XN 73,245,très longue,5,5,blanc,false,49200,2
Audi,A2 1.4,2353 YU 86,75,courte,5,5,rouge,false,18310,3
BMW,M5,1729 ES 33,507,très longue,5,5,blanc,false,94800,2
BMW,M5,5706 CG 60,507,très longue,5,5,rouge,false,94800,2
Renault,Laguna 2.0T,4817 AM 69,170,longue,5,5,gris,false,27300,0
Audi,A2 1.4,9811 QU 62,75,courte,5,5,gris,false,18310,3
Renault,Megane 2.0 16V,8499 JB 37,135,moyenne,5,5,bleu,false,22350,0
Peugeot,1007 1.4,1375 UM 58,75,courte,5,5,blanc,false,13750,3
Mercedes,S500,7011 BE 97,306,très longue,5,5,gris,false,101300,2
Jaguar,X-Type 2.5 V6,4781 CR 84,197,longue,5,5,noir,false,37100,0
Jaguar,X-Type 2.5 V6,7916 UJ 75,197,longue,5,5,gris,false,37100,0
Audi,A2 1.4,3589 YW 37,75,courte,5,5,gris,false,18310,3
Volkswagen,Golf 2.0 FSI,4157 QC 41,150,moyenne,5,5,gris,false,22900,0
BMW,M5,5835 YT 88,507,très longue,5,5,rouge,false,94800,2
BMW,M5,9446 CB 25,507,très longue,5,5,rouge,false,94800,2
Fiat,Croma 2.2,8878 DQ 53,147,longue,5,5,noir,false,24780,0
Fiat,Croma 2.2,1929 EU 78,147,longue,5,5,rouge,false,24780,0
Ford,Mondeo 1.8,5712 OX 48,125,longue,5,5,noir,false,23900,0
Volkswagen,Polo 1.2 6V,677 VG 79,55,courte,5,3,bleu,false,12200,1
Volkswagen,Polo 1.2 6V,3619 BR 56,55,courte,5,3,blanc,false,12200,1
Mercedes,S500,7127 GX 59,306,très longue,5,5,bleu,false,101300,2
Jaguar,X-Type 2.5 V6,7368 PA 28,197,longue,5,5,blanc,false,37100,0
Renault,Megane 2.0 16V,2627 DE 67,135,moyenne,5,5,gris,false,22350,0
Volkswagen,Golf 2.0 FSI,5732 AF 31,150,moyenne,5,5,noir,false,22900,0
Mercedes,S500,4564 SN 38,306,très longue,5,5,rouge,false,101300,2
Dacia,Logan 1.6 MPI,7622 RZ 24,90,moyenne,5,5,blanc,false,7500,0
Mercedes,A200,6639 MX 96,136,moyenne,5,5,blanc,false,25900,0
Renault,Vel Satis 3.5 V6,581 UL 88,245,très longue,5,5,gris,false,49200,2
Saab,9.3 1.8T,4123 DS 35,150,longue,5,5,bleu,false,38600,0
Peugeot,1007 1.4,4424 SB 51,75,courte,5,5,blanc,false,13750,3
Ford,Mondeo 1.8,5161 TH 37,125,longue,5,5,blanc,false,23900,0
Audi,A2 1.4,1469 WQ 57,75,courte,5,5,rouge,false,18310,3
Audi,A2 1.4,9511 SF 89,75,courte,5,5,rouge,false,18310,3
Jaguar,X-Type 2.5 V6,693 EV 35,197,longue,5,5,rouge,false,37100,0
Audi,A2 1.4,5046 ID 90,75,courte,5,5,rouge,false,18310,3
Audi,A3 2.0 FSI,8475 LH 90,150,moyenne,5,5,gris,false,28500,0
Jaguar,X-Type 2.5 V6,2951 TO 73,197,longue,5,5,gris,false,37100,0
BMW,M5,5051 MU 61,507,très longue,5,5,rouge,false,94800,2
BMW,M5,8140 KK 82,507,très longue,5,5,bleu,false,94800,2
Jaguar,X-Type 2.5 V6,271 VH 59,197,longue,5,5,bleu,false,37100,0
Volvo,S80 T6,2865 UZ 46,272,très longue,5,5,rouge,false,50500,2
Volkswagen,Polo 1.2 6V,5740 LO 16,55,courte,5,3,noir,false,12200,1
Renault,Megane 2.0 16V,6763 YP 46,135,moyenne,5,5,rouge,false,22350,0
Volvo,S80 T6,6976 VF 48,272,très longue,5,5,bleu,false,50500,2
Renault,Vel Satis 3.5 V6,7950 DR 16,245,très longue,5,5,gris,false,49200,2
Audi,A2 1.4,3124 EU 39,75,courte,5,5,blanc,false,18310,3
Peugeot,1007 1.4,4341 KO 79,75,courte,5,5,noir,false,13750,3
Peugeot,1007 1.4,1187 WV 54,75,courte,5,5,blanc,false,13750,3
Nissan,Maxima 3.0 V6,381 MH 26,200,très longue,5,5,gris,false,30000,2
Mini,Copper 1.6 16V,1435 KO 92,115,courte,5,5,gris,false,18200,3
Volkswagen,Polo 1.2 6V,1408 YQ 79,55,courte,5,3,bleu,false,12200,1
Saab,9.3 1.8T,8325 IG 17,150,longue,5,5,bleu,false,38600,0
Audi,A2 1.4,850 OP 22,75,courte,5,5,noir,false,18310,3
Renault,Megane 2.0 16V,5988 RJ 52,135,moyenne,5,5,rouge,false,22350,0
Fiat,Croma 2.2,6321 HF 74,147,longue,5,5,blanc,false,24780,0
Skoda,Superb 2.8 V6,2377 QA 94,193,très longue,5,5,noir,false,31790,2
Mercedes,A200,7101 OO 67,136,moyenne,5,5,noir,false,25900,0
Audi,A2 1.4,6788 WL 32,75,courte,5,5,rouge,false,18310,3
Renault,Vel Satis 3.5 V6,6006 YL 84,245,très longue,5,5,bleu,false,49200,2
Volkswagen,Polo 1.2 6V,114 VN 70,55,courte,5,3,noir,false,12200,1
Volvo,S80 T6,1018 HL 78,272,très longue,5,5,gris,false,50500,2
Renault,Vel Satis 3.5 V6,631 WU 76,245,très longue,5,5,gris,false,49200,2
Volvo,S80 T6,894 JI 44,272,très longue,5,5,rouge,false,50500,2
Volvo,S80 T6,1739 GS 82,272,très longue,5,5,rouge,false,50500,2
Volkswagen,Polo 1.2 6V,6796 OO 96,55,courte,5,3,rouge,false,12200,1
Peugeot,1007 1.4,4046 ZF 72,75,courte,5,5,noir,false,13750,3
Audi,A2 1.4,3118 ZO 53,75,courte,5,5,bleu,false,18310,3
Skoda,Superb 2.8 V6,763 DG 29,193,très longue,5,5,rouge,false,31790,2
Jaguar,X-Type 2.5 V6,1123 GM 23,197,longue,5,5,noir,false,37100,0
BMW,M5,9420 JH 56,507,très longue,5,5,gris,false,94800,2
BMW,M5,2828 AK 91,507,très longue,5,5,gris,false,94800,2
Jaguar,X-Type 2.5 V6,4469 EY 89,197,longue,5,5,blanc,false,37100,0
Audi,A2 1.4,9906 PO 77,75,courte,5,5,blanc,false,18310,3
BMW,M5,9408 NW 57,507,très longue,5,5,gris,false,94800,2
Audi,A2 1.4,5956 AE 48,75,courte,5,5,bleu,false,18310,3
BMW,M5,9788 OT 84,507,très longue,5,5,bleu,false,94800,2
Nissan,Primera 1.6,7881 TJ 83,109,longue,5,5,rouge,false,18650,0
Renault,Vel Satis 3.5 V6,2510 YD 48,245,très longue,5,5,bleu,false,49200,2
BMW,M5,7556 CL 62,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,2002 CH 74,75,courte,5,5,bleu,false,18310,3
Audi,A2 1.4,6360 IB 52,75,courte,5,5,rouge,false,18310,3
Audi,A2 1.4,6635 YG 94,75,courte,5,5,noir,false,18310,3
Nissan,Maxima 3.0 V6,3785 MM 33,200,très longue,5,5,blanc,false,30000,2
Volkswagen,Polo 1.2 6V,8955 WC 21,55,courte,5,3,blanc,false,12200,1
Volkswagen,Polo 1.2 6V,4912 FA 89,55,courte,5,3,rouge,false,12200,1
Skoda,Superb 2.8 V6,4125 RO 62,193,très longue,5,5,gris,false,31790,2
Renault,Laguna 2.0T,7366 PI 87,170,longue,5,5,blanc,false,27300,0
Jaguar,X-Type 2.5 V6,4138 IZ 94,197,longue,5,5,rouge,false,37100,0
Renault,Laguna 2.0T,7748 AJ 60,170,longue,5,5,blanc,false,27300,0
Nissan,Primera 1.6,122 OL 59,109,longue,5,5,blanc,false,18650,0
Ford,Mondeo 1.8,313 HC 62,125,longue,5,5,bleu,false,23900,0
Renault,Vel Satis 3.5 V6,101 PS 35,245,très longue,5,5,noir,false,49200,2
BMW,M5,8594 GX 67,507,très longue,5,5,gris,false,94800,2
Skoda,Superb 2.8 V6,5493 QX 71,193,très longue,5,5,bleu,false,31790,2
Nissan,Primera 1.6,9051 MI 10,109,longue,5,5,rouge,false,18650,0
Fiat,Croma 2.2,7637 FT 29,147,longue,5,5,gris,false,24780,0
BMW,M5,838 VT 95,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,2968 RE 70,75,courte,5,5,blanc,false,18310,3
Peugeot,1007 1.4,9812 FX 89,75,courte,5,5,rouge,false,13750,3
Mercedes,A200,5469 YE 64,136,moyenne,5,5,bleu,false,25900,0
Renault,Vel Satis 3.5 V6,8035 NA 37,245,très longue,5,5,gris,false,49200,2
Peugeot,1007 1.4,7950 MO 54,75,courte,5,5,bleu,false,13750,3
Audi,A2 1.4,8662 RR 38,75,courte,5,5,rouge,false,18310,3
Nissan,Maxima 3.0 V6,5804 MV 88,200,très longue,5,5,noir,false,30000,2
Mercedes,S500,6000 WM 42,306,très longue,5,5,rouge,false,101300,2
Kia,Picanto 1.1,7586 VG 26,65,courte,5,5,bleu,false,8990,3
Jaguar,X-Type 2.5 V6,3175 RC 78,197,longue,5,5,noir,false,37100,0
Volkswagen,Polo 1.2 6V,8533 PI 20,55,courte,5,3,bleu,false,12200,1
BMW,M5,4495 IX 98,507,très longue,5,5,bleu,false,94800,2
Audi,A2 1.4,2072 GU 86,75,courte,5,5,noir,false,18310,3
Volkswagen,Golf 2.0 FSI,1013 LM 63,150,moyenne,5,5,rouge,false,22900,0
Audi,A2 1.4,4584 OL 28,75,courte,5,5,blanc,false,18310,3
Renault,Megane 2.0 16V,4250 NH 51,135,moyenne,5,5,rouge,false,22350,0
Peugeot,1007 1.4,8340 YZ 45,75,courte,5,5,noir,false,13750,3
Volvo,S80 T6,8357 KW 79,272,très longue,5,5,rouge,false,50500,2
Fiat,Croma 2.2,2077 JJ 67,147,longue,5,5,blanc,false,24780,0
Renault,Vel Satis 3.5 V6,1011 UB 22,245,très longue,5,5,bleu,false,49200,2
BMW,M5,6031 LO 15,507,très longue,5,5,bleu,false,94800,2
Renault,Vel Satis 3.5 V6,2239 UO 96,245,très longue,5,5,gris,false,49200,2
Audi,A2 1.4,7192 AW 89,75,courte,5,5,rouge,false,18310,3
BMW,M5,1015 QM 20,507,très longue,5,5,rouge,false,94800,2
Peugeot,1007 1.4,7467 YU 37,75,courte,5,5,rouge,false,13750,3
Audi,A2 1.4,1748 WD 85,75,courte,5,5,blanc,false,18310,3
Renault,Vel Satis 3.5 V6,885 KQ 79,245,très longue,5,5,bleu,false,49200,2
Audi,A2 1.4,5009 TU 77,75,courte,5,5,blanc,false,18310,3
Seat,Toledo 1.6,7430 UV 72,102,longue,5,5,blanc,false,18880,0
Renault,Laguna 2.0T,3347 QX 57,170,longue,5,5,gris,false,27300,0
Renault,Megane 2.0 16V,7929 XL 33,135,moyenne,5,5,gris,false,22350,0
Renault,Laguna 2.0T,2810 XN 97,170,longue,5,5,noir,false,27300,0
Audi,A2 1.4,3710 FQ 22,75,courte,5,5,gris,false,18310,3
Saab,9.3 1.8T,3899 WB 26,150,longue,5,5,noir,false,38600,0
Ford,Mondeo 1.8,1916 IE 58,125,longue,5,5,rouge,false,23900,0
Seat,Toledo 1.6,2920 EX 34,102,longue,5,5,bleu,false,18880,0
Mini,Copper 1.6 16V,9668 WE 73,115,courte,5,5,blanc,false,18200,3
Nissan,Almera 1.8,9568 YD 77,115,moyenne,5,5,noir,false,16450,0
Nissan,Maxima 3.0 V6,9878 TO 48,200,très longue,5,5,gris,false,30000,2
BMW,M5,7755 MG 77,507,très longue,5,5,gris,false,94800,2
Audi,A2 1.4,8479 RP 13,75,courte,5,5,blanc,false,18310,3
Fiat,Croma 2.2,3050 FT 47,147,longue,5,5,rouge,false,24780,0
Volvo,S80 T6,9823 SH 68,272,très longue,5,5,bleu,false,50500,2
Volkswagen,Polo 1.2 6V,6557 UV 21,55,courte,5,3,blanc,false,12200,1
Renault,Laguna 2.0T,5997 YF 44,170,longue,5,5,noir,false,27300,0
Nissan,Primera 1.6,664 JW 23,109,longue,5,5,rouge,false,18650,0
Renault,Vel Satis 3.5 V6,6693 UF 22,245,très longue,5,5,gris,false,49200,2
BMW,M5,3898 CT 21,507,très longue,5,5,gris,false,94800,2
Dacia,Logan 1.6 MPI,4967 TJ 97,90,moyenne,5,5,noir,false,7500,0
Nissan,Maxima 3.0 V6,7526 ZI 39,200,très longue,5,5,gris,false,30000,2
Peugeot,1007 1.4,2500 XL 80,75,courte,5,5,blanc,false,13750,3
Nissan,Almera 1.8,4143 UX 18,115,moyenne,5,5,rouge,false,16450,0
Seat,Toledo 1.6,1382 AC 96,102,longue,5,5,bleu,false,18880,0
Renault,Megane 2.0 16V,4535 RJ 78,135,moyenne,5,5,bleu,false,22350,0
Volkswagen,Polo 1.2 6V,7284 XD 49,55,courte,5,3,noir,false,12200,1
Renault,Megane 2.0 16V,4174 ZI 90,135,moyenne,5,5,blanc,false,22350,0
Renault,Laguna 2.0T,7479 RL 82,170,longue,5,5,gris,false,27300,0
Audi,A2 1.4,9321 XW 80,75,courte,5,5,bleu,false,18310,3
Nissan,Primera 1.6,2114 IA 42,109,longue,5,5,gris,false,18650,0
Jaguar,X-Type 2.5 V6,8141 QA 29,197,longue,5,5,bleu,false,37100,0
Renault,Laguna 2.0T,6964 ZE 94,170,longue,5,5,blanc,false,27300,0
BMW,M5,3134 MF 61,507,très longue,5,5,gris,false,94800,2
Skoda,Superb 2.8 V6,4438 BJ 54,193,très longue,5,5,bleu,false,31790,2
Skoda,Superb 2.8 V6,1485 JU 29,193,très longue,5,5,blanc,false,31790,2
Volvo,S80 T6,717 TH 46,272,très longue,5,5,noir,false,50500,2
Daihatsu,Cuore 1.0,111 OD 72,58,courte,5,3,rouge,false,8850,1
Skoda,Superb 2.8 V6,1639 TQ 58,193,très longue,5,5,noir,false,31790,2
Renault,Vel Satis 3.5 V6,8792 GM 54,245,très longue,5,5,gris,false,49200,2
Jaguar,X-Type 2.5 V6,6392 MV 26,197,longue,5,5,blanc,false,37100,0
Volvo,S80 T6,5581 XA 81,272,très longue,5,5,gris,false,50500,2
Jaguar,X-Type 2.5 V6,317 WT 13,197,longue,5,5,blanc,false,37100,0
Ford,Mondeo 1.8,2699 ZG 23,125,longue,5,5,rouge,false,23900,0
Renault,Vel Satis 3.5 V6,8592 HP 42,245,très longue,5,5,blanc,false,49200,2
Renault,Laguna 2.0T,2792 FC 37,170,longue,5,5,rouge,false,27300,0
Volkswagen,Polo 1.2 6V,3098 CX 86,55,courte,5,3,noir,false,12200,1
Fiat,Croma 2.2,8895 LC 82,147,longue,5,5,bleu,false,24780,0
BMW,M5,1321 MR 98,507,très longue,5,5,gris,false,94800,2
Renault,Laguna 2.0T,1566 HQ 60,170,longue,5,5,gris,false,27300,0
Audi,A2 1.4,2601 QO 47,75,courte,5,5,noir,false,18310,3
BMW,M5,436 EF 78,507,très longue,5,5,noir,false,94800,2
Seat,Toledo 1.6,4241 ZD 20,102,longue,5,5,gris,false,18880,0
Volvo,S80 T6,8561 NJ 25,272,très longue,5,5,rouge,false,50500,2
Renault,Vel Satis 3.5 V6,352 MA 33,245,très longue,5,5,noir,false,49200,2
Skoda,Superb 2.8 V6,4172 RV 71,193,très longue,5,5,rouge,false,31790,2
Renault,Laguna 2.0T,2912 BX 96,170,longue,5,5,noir,false,27300,0
Daihatsu,Cuore 1.0,6804 KS 79,58,courte,5,3,noir,false,8850,1
Saab,9.3 1.8T,5613 TA 63,150,longue,5,5,blanc,false,38600,0
Skoda,Superb 2.8 V6,4643 UL 71,193,très longue,5,5,noir,false,31790,2
Volkswagen,Polo 1.2 6V,5832 SC 72,55,courte,5,3,blanc,false,12200,1
Jaguar,X-Type 2.5 V6,853 NG 61,197,longue,5,5,blanc,false,37100,0
Renault,Vel Satis 3.5 V6,8688 AC 53,245,très longue,5,5,rouge,false,49200,2
Jaguar,X-Type 2.5 V6,8480 IJ 14,197,longue,5,5,blanc,false,37100,0
Ford,Mondeo 1.8,3704 RF 85,125,longue,5,5,bleu,false,23900,0
Audi,A2 1.4,3934 NL 49,75,courte,5,5,noir,false,18310,3
Fiat,Croma 2.2,5838 NS 93,147,longue,5,5,bleu,false,24780,0
Audi,A2 1.4,960 GT 55,75,courte,5,5,blanc,false,18310,3
Ford,Mondeo 1.8,3464 OU 44,125,longue,5,5,noir,false,23900,0
Kia,Picanto 1.1,5327 NV 75,65,courte,5,5,bleu,false,8990,3
BMW,M5,4120 MN 89,507,très longue,5,5,blanc,false,94800,2
Mercedes,S500,7372 GN 92,306,très longue,5,5,noir,false,101300,2
Audi,A2 1.4,6788 UI 90,75,courte,5,5,bleu,false,18310,3
Renault,Vel Satis 3.5 V6,8778 SM 98,245,très longue,5,5,bleu,false,49200,2
Daihatsu,Cuore 1.0,3334 ZO 46,58,courte,5,3,gris,false,8850,1
Seat,Toledo 1.6,1789 PN 60,102,longue,5,5,rouge,false,18880,0
Volvo,S80 T6,1183 LJ 28,272,très longue,5,5,gris,false,50500,2
Nissan,Primera 1.6,7380 FC 51,109,longue,5,5,gris,false,18650,0
BMW,M5,1971 ZT 91,507,très longue,5,5,blanc,false,94800,2
Nissan,Almera 1.8,8334 WX 88,115,moyenne,5,5,bleu,false,16450,0
BMW,M5,4546 MC 88,507,très longue,5,5,blanc,false,94800,2
Renault,Vel Satis 3.5 V6,2150 DQ 13,245,très longue,5,5,gris,false,49200,2
Fiat,Croma 2.2,8957 GL 18,147,longue,5,5,bleu,false,24780,0
Audi,A2 1.4,5683 NX 47,75,courte,5,5,rouge,false,18310,3
Skoda,Superb 2.8 V6,7964 AO 74,193,très longue,5,5,blanc,false,31790,2
Kia,Picanto 1.1,4990 MO 98,65,courte,5,5,rouge,false,8990,3
Mercedes,A200,2071 FR 47,136,moyenne,5,5,blanc,false,25900,0
Peugeot,1007 1.4,2951 OW 50,75,courte,5,5,gris,false,13750,3
Ford,Mondeo 1.8,2930 VF 53,125,longue,5,5,bleu,false,23900,0
Jaguar,X-Type 2.5 V6,2983 PK 21,197,longue,5,5,rouge,false,37100,0
Daihatsu,Cuore 1.0,1520 ZU 94,58,courte,5,3,gris,false,8850,1
Nissan,Maxima 3.0 V6,4204 WT 56,200,très longue,5,5,blanc,false,30000,2
Audi,A2 1.4,1212 KA 16,75,courte,5,5,bleu,false,18310,3
BMW,M5,1274 YS 46,507,très longue,5,5,gris,false,94800,2
BMW,M5,7975 CO 25,507,très longue,5,5,gris,false,94800,2
Jaguar,X-Type 2.5 V6,6348 GS 52,197,longue,5,5,gris,false,37100,0
Ford,Mondeo 1.8,8573 KT 65,125,longue,5,5,blanc,false,23900,0
Kia,Picanto 1.1,8896 VJ 25,65,courte,5,5,gris,false,8990,3
Mini,Copper 1.6 16V,721 EG 80,115,courte,5,5,rouge,false,18200,3
Volvo,S80 T6,6196 UM 59,272,très longue,5,5,blanc,false,50500,2
Peugeot,1007 1.4,2526 BQ 63,75,courte,5,5,noir,false,13750,3
Volvo,S80 T6,1863 WA 39,272,très longue,5,5,gris,false,50500,2
Saab,9.3 1.8T,2714 IS 62,150,longue,5,5,rouge,false,38600,0
Peugeot,1007 1.4,9113 SZ 17,75,courte,5,5,noir,false,13750,3
Jaguar,X-Type 2.5 V6,699 DM 49,197,longue,5,5,blanc,false,37100,0
Jaguar,X-Type 2.5 V6,4608 LO 26,197,longue,5,5,rouge,false,37100,0
Audi,A2 1.4,4369 NO 82,75,courte,5,5,bleu,false,18310,3
Jaguar,X-Type 2.5 V6,6956 VL 58,197,longue,5,5,bleu,false,37100,0
Renault,Laguna 2.0T,8865 KQ 31,170,longue,5,5,gris,false,27300,0
Mercedes,S500,2278 DR 77,306,très longue,5,5,bleu,false,101300,2
BMW,M5,6971 UT 19,507,très longue,5,5,rouge,false,94800,2
Kia,Picanto 1.1,7738 OD 10,65,courte,5,5,rouge,false,8990,3
Fiat,Croma 2.2,2294 GK 75,147,longue,5,5,gris,false,24780,0
BMW,M5,9630 EK 70,507,très longue,5,5,gris,false,94800,2
Jaguar,X-Type 2.5 V6,862 ZO 52,197,longue,5,5,gris,false,37100,0
Mercedes,S500,1247 VG 86,306,très longue,5,5,blanc,false,101300,2
Renault,Vel Satis 3.5 V6,1426 FG 93,245,très longue,5,5,bleu,false,49200,2
Ford,Mondeo 1.8,5085 VM 69,125,longue,5,5,gris,false,23900,0
Renault,Megane 2.0 16V,8330 NP 49,135,moyenne,5,5,gris,false,22350,0
Renault,Vel Satis 3.5 V6,3183 IT 57,245,très longue,5,5,gris,false,49200,2
Audi,A2 1.4,5170 KH 96,75,courte,5,5,gris,false,18310,3
Audi,A2 1.4,766 AC 41,75,courte,5,5,gris,false,18310,3
Renault,Laguna 2.0T,9206 ZM 10,170,longue,5,5,bleu,false,27300,0
Renault,Vel Satis 3.5 V6,7892 PJ 19,245,très longue,5,5,noir,false,49200,2
Renault,Laguna 2.0T,9567 DB 62,170,longue,5,5,noir,false,27300,0
Jaguar,X-Type 2.5 V6,2445 SV 81,197,longue,5,5,noir,false,37100,0
Audi,A2 1.4,781 ED 42,75,courte,5,5,blanc,false,18310,3
Renault,Vel Satis 3.5 V6,4734 AP 55,245,très longue,5,5,blanc,false,49200,2
BMW,M5,8582 BL 60,507,très longue,5,5,bleu,false,94800,2
Seat,Toledo 1.6,2674 YC 15,102,longue,5,5,gris,false,18880,0
Volkswagen,Golf 2.0 FSI,3984 HB 68,150,moyenne,5,5,rouge,false,22900,0
Volvo,S80 T6,5671 DH 65,272,très longue,5,5,gris,false,50500,2
BMW,M5,2209 KR 37,507,très longue,5,5,gris,false,94800,2
Renault,Vel Satis 3.5 V6,3770 ZR 61,245,très longue,5,5,rouge,false,49200,2
Skoda,Superb 2.8 V6,8432 NP 51,193,très longue,5,5,blanc,false,31790,2
Seat,Toledo 1.6,1592 HZ 83,102,longue,5,5,noir,false,18880,0
Renault,Vel Satis 3.5 V6,3877 GF 56,245,très longue,5,5,gris,false,49200,2
Daihatsu,Cuore 1.0,7253 GC 37,58,courte,5,3,gris,false,8850,1
Audi,A2 1.4,8362 MS 66,75,courte,5,5,rouge,false,18310,3
Volkswagen,Polo 1.2 6V,9116 IN 74,55,courte,5,3,blanc,false,12200,1
BMW,M5,4945 QZ 41,507,très longue,5,5,gris,false,94800,2
Fiat,Croma 2.2,4857 GM 45,147,longue,5,5,noir,false,24780,0
Renault,Vel Satis 3.5 V6,1928 YU 74,245,très longue,5,5,bleu,false,49200,2
Jaguar,X-Type 2.5 V6,8770 JC 97,197,longue,5,5,gris,false,37100,0
Peugeot,1007 1.4,7973 FJ 45,75,courte,5,5,bleu,false,13750,3
Volvo,S80 T6,5770 YW 42,272,très longue,5,5,blanc,false,50500,2
