immatriculation,marque,nom,puissance,longueur,nbPlaces,nbPortes,couleur,occasion,prix
850 OP 22,Audi,A2 1.4,75,courte,5,5,noir,false,18310
5988 RJ 52,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
6321 HF 74,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
33 UZ 26,Renault,Laguna 2.0T,170,longue,5,5,rouge,true,19110
2377 QA 94,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
7101 OO 67,Mercedes,A200,136,moyenne,5,5,noir,false,25900
6788 WL 32,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6006 YL 84,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
4784 OA 66,Audi,A2 1.4,75,courte,5,5,noir,true,12817
3872 XV 83,Audi,A2 1.4,75,courte,5,5,noir,true,12817
7497 CY 93,Fiat,Croma 2.2,147,longue,5,5,bleu,true,17346
5874 ST 86,Ford,Mondeo 1.8,125,longue,5,5,gris,true,16730
114 VN 70,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
1018 HL 78,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
631 WU 76,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
894 JI 44,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
6415 ZO 27,Volvo,S80 T6,272,très longue,5,5,rouge,true,35350
1739 GS 82,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
6796 OO 96,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
4046 ZF 72,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
5882 UQ 58,Mercedes,A200,136,moyenne,5,5,gris,true,18130
3118 ZO 53,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
763 DG 29,Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,false,31790
1123 GM 23,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
9420 JH 56,BMW,M5,507,très longue,5,5,gris,false,94800
2828 AK 91,BMW,M5,507,très longue,5,5,gris,false,94800
4469 EY 89,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
9906 PO 77,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
9408 NW 57,BMW,M5,507,très longue,5,5,gris,false,94800
5956 AE 48,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
9788 OT 84,BMW,M5,507,très longue,5,5,bleu,false,94800
7668 KN 70,Peugeot,1007 1.4,75,courte,5,5,bleu,true,9625
716 MP 19,BMW,M5,507,très longue,5,5,noir,true,66360
7881 TJ 83,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
5750 UO 24,BMW,M5,507,très longue,5,5,blanc,true,66360
4223 YG 83,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
2510 YD 48,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
3935 SU 17,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
1103 JN 72,BMW,M5,507,très longue,5,5,rouge,true,66360
7556 CL 62,BMW,M5,507,très longue,5,5,bleu,false,94800
2883 FJ 94,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
2002 CH 74,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
6360 IB 52,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
6635 YG 94,Audi,A2 1.4,75,courte,5,5,noir,false,18310
1021 UT 76,Renault,Laguna 2.0T,170,longue,5,5,blanc,true,19110
3785 MM 33,Nissan,Maxima 3.0 V6,200,très longue,5,5,blanc,false,30000
8955 WC 21,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
4912 FA 89,Volkswagen,Polo 1.2 6V,55,courte,5,3,rouge,false,12200
6168 OD 90,BMW,M5,507,très longue,5,5,gris,true,66360
1131 IQ 68,Peugeot,1007 1.4,75,courte,5,5,blanc,true,9625
4125 RO 62,Skoda,Superb 2.8 V6,193,très longue,5,5,gris,false,31790
5017 LW 49,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
2412 YV 80,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
7366 PI 87,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
4138 IZ 94,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,false,37100
7748 AJ 60,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
122 OL 59,Nissan,Primera 1.6,109,longue,5,5,blanc,false,18650
313 HC 62,Ford,Mondeo 1.8,125,longue,5,5,bleu,false,23900
101 PS 35,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
8594 GX 67,BMW,M5,507,très longue,5,5,gris,false,94800
9612 XX 58,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
5493 QX 71,Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,false,31790
9051 MI 10,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
3955 YE 13,BMW,M5,507,très longue,5,5,bleu,true,66360
2989 WQ 14,Ford,Mondeo 1.8,125,longue,5,5,rouge,true,16730
7637 FT 29,Fiat,Croma 2.2,147,longue,5,5,gris,false,24780
7682 AW 20,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,noir,true,16029
4828 IY 61,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,true,34440
6730 YQ 41,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,true,34440
838 VT 95,BMW,M5,507,très longue,5,5,bleu,false,94800
2968 RE 70,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
9812 FX 89,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
5469 YE 64,Mercedes,A200,136,moyenne,5,5,bleu,false,25900
8035 NA 37,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
1436 FE 54,Jaguar,X-Type 2.5 V6,197,longue,5,5,gris,true,25970
7950 MO 54,Peugeot,1007 1.4,75,courte,5,5,bleu,false,13750
8662 RR 38,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
7933 EL 17,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,gris,true,16029
5804 MV 88,Nissan,Maxima 3.0 V6,200,très longue,5,5,noir,false,30000
6000 WM 42,Mercedes,S500,306,très longue,5,5,rouge,false,101300
7586 VG 26,Kia,Picanto 1.1,65,courte,5,5,bleu,false,8990
3175 RC 78,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,false,37100
4948 GV 26,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
8533 PI 20,Volkswagen,Polo 1.2 6V,55,courte,5,3,bleu,false,12200
6897 MW 72,BMW,M5,507,très longue,5,5,bleu,true,66360
4495 IX 98,BMW,M5,507,très longue,5,5,bleu,false,94800
2072 GU 86,Audi,A2 1.4,75,courte,5,5,noir,false,18310
1013 LM 63,Volkswagen,Golf 2.0 FSI,150,moyenne,5,5,rouge,false,22900
4584 OL 28,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
4250 NH 51,Renault,Megane 2.0 16V,135,moyenne,5,5,rouge,false,22350
8340 YZ 45,Peugeot,1007 1.4,75,courte,5,5,noir,false,13750
7314 XY 61,Audi,A2 1.4,75,courte,5,5,gris,true,12817
6802 QP 69,Jaguar,X-Type 2.5 V6,197,longue,5,5,rouge,true,25970
8357 KW 79,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
7131 QV 18,Audi,A2 1.4,75,courte,5,5,rouge,true,12817
9018 QL 84,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
2077 JJ 67,Fiat,Croma 2.2,147,longue,5,5,blanc,false,24780
1011 UB 22,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
6031 LO 15,BMW,M5,507,très longue,5,5,bleu,false,94800
2239 UO 96,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
7297 LS 95,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
8170 NO 78,BMW,M5,507,très longue,5,5,gris,true,66360
7192 AW 89,Audi,A2 1.4,75,courte,5,5,rouge,false,18310
1015 QM 20,BMW,M5,507,très longue,5,5,rouge,false,94800
7467 YU 37,Peugeot,1007 1.4,75,courte,5,5,rouge,false,13750
1748 WD 85,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
885 KQ 79,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,false,49200
5009 TU 77,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
7430 UV 72,Seat,Toledo 1.6,102,longue,5,5,blanc,false,18880
3347 QX 57,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
2185 HJ 74,BMW,M5,507,très longue,5,5,noir,true,66360
2284 UJ 38,Renault,Laguna 2.0T,170,longue,5,5,noir,true,19110
7929 XL 33,Renault,Megane 2.0 16V,135,moyenne,5,5,gris,false,22350
2810 XN 97,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
3710 FQ 22,Audi,A2 1.4,75,courte,5,5,gris,false,18310
3899 WB 26,Saab,9.3 1.8T,150,longue,5,5,noir,false,38600
1916 IE 58,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
8992 NG 69,Mercedes,S500,306,très longue,5,5,rouge,true,70910
2920 EX 34,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
1125 PI 90,BMW,M5,507,très longue,5,5,bleu,true,66360
9668 WE 73,Mini,Copper 1.6 16V,115,courte,5,5,blanc,false,18200
9568 YD 77,Nissan,Almera 1.8,115,moyenne,5,5,noir,false,16450
4417 LT 65,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
9878 TO 48,Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000
7755 MG 77,BMW,M5,507,très longue,5,5,gris,false,94800
8479 RP 13,Audi,A2 1.4,75,courte,5,5,blanc,false,18310
1753 EK 54,Audi,A2 1.4,75,courte,5,5,gris,true,12817
3050 FT 47,Fiat,Croma 2.2,147,longue,5,5,rouge,false,24780
9823 SH 68,Volvo,S80 T6,272,très longue,5,5,bleu,false,50500
9514 XL 61,Saab,9.3 1.8T,150,longue,5,5,blanc,true,27020
6557 UV 21,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
8441 VR 85,Mercedes,A200,136,moyenne,5,5,bleu,true,18130
5997 YF 44,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
1075 OO 46,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
7522 ME 25,Mercedes,S500,306,très longue,5,5,gris,true,70910
664 JW 23,Nissan,Primera 1.6,109,longue,5,5,rouge,false,18650
6693 UF 22,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
3898 CT 21,BMW,M5,507,très longue,5,5,gris,false,94800
4967 TJ 97,Dacia,Logan 1.6 MPI,90,moyenne,5,5,noir,false,7500
4831 UB 72,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
7949 WC 61,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,true,15644
5289 EP 57,Saab,9.3 1.8T,150,longue,5,5,bleu,true,27020
7526 ZI 39,Nissan,Maxima 3.0 V6,200,très longue,5,5,gris,false,30000
2500 XL 80,Peugeot,1007 1.4,75,courte,5,5,blanc,false,13750
4143 UX 18,Nissan,Almera 1.8,115,moyenne,5,5,rouge,false,16450
1382 AC 96,Seat,Toledo 1.6,102,longue,5,5,bleu,false,18880
4535 RJ 78,Renault,Megane 2.0 16V,135,moyenne,5,5,bleu,false,22350
7284 XD 49,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
4894 YG 11,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,true,25970
4174 ZI 90,Renault,Megane 2.0 16V,135,moyenne,5,5,blanc,false,22350
5306 KT 22,Fiat,Croma 2.2,147,longue,5,5,blanc,true,17346
7479 RL 82,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
9321 XW 80,Audi,A2 1.4,75,courte,5,5,bleu,false,18310
2114 IA 42,Nissan,Primera 1.6,109,longue,5,5,gris,false,18650
6647 HS 62,BMW,120i,150,moyenne,5,5,noir,true,25060
8141 QA 29,Jaguar,X-Type 2.5 V6,197,longue,5,5,bleu,false,37100
6964 ZE 94,Renault,Laguna 2.0T,170,longue,5,5,blanc,false,27300
3134 MF 61,BMW,M5,507,très longue,5,5,gris,false,94800
4438 BJ 54,Skoda,Superb 2.8 V6,193,très longue,5,5,bleu,false,31790
1485 JU 29,Skoda,Superb 2.8 V6,193,très longue,5,5,blanc,false,31790
717 TH 46,Volvo,S80 T6,272,très longue,5,5,noir,false,50500
111 OD 72,Daihatsu,Cuore 1.0,58,courte,5,3,rouge,false,8850
1639 TQ 58,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
8061 EI 43,Audi,A2 1.4,75,courte,5,5,noir,true,12817
1634 LL 21,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,true,34440
309 CM 58,Audi,A2 1.4,75,courte,5,5,blanc,true,12817
7587 JQ 54,Audi,A2 1.4,75,courte,5,5,noir,true,12817
8792 GM 54,Renault,Vel Satis 3.5 V6,245,très longue,5,5,gris,false,49200
6392 MV 26,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
9607 FG 52,Audi,A2 1.4,75,courte,5,5,gris,true,12817
5581 XA 81,Volvo,S80 T6,272,très longue,5,5,gris,false,50500
317 WT 13,Jaguar,X-Type 2.5 V6,197,longue,5,5,blanc,false,37100
8083 LB 32,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
763 LT 62,Volvo,S80 T6,272,très longue,5,5,bleu,true,35350
2699 ZG 23,Ford,Mondeo 1.8,125,longue,5,5,rouge,false,23900
3891 YB 75,BMW,120i,150,moyenne,5,5,rouge,true,25060
6731 RX 43,Audi,A2 1.4,75,courte,5,5,bleu,true,12817
6365 GL 25,Peugeot,1007 1.4,75,courte,5,5,noir,true,9625
9423 BW 85,Renault,Vel Satis 3.5 V6,245,très longue,5,5,bleu,true,34440
8592 HP 42,Renault,Vel Satis 3.5 V6,245,très longue,5,5,blanc,false,49200
2792 FC 37,Renault,Laguna 2.0T,170,longue,5,5,rouge,false,27300
3098 CX 86,Volkswagen,Polo 1.2 6V,55,courte,5,3,noir,false,12200
8895 LC 82,Fiat,Croma 2.2,147,longue,5,5,bleu,false,24780
9417 UF 58,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
1321 MR 98,BMW,M5,507,très longue,5,5,gris,false,94800
1566 HQ 60,Renault,Laguna 2.0T,170,longue,5,5,gris,false,27300
2601 QO 47,Audi,A2 1.4,75,courte,5,5,noir,false,18310
436 EF 78,BMW,M5,507,très longue,5,5,noir,false,94800
1613 NX 80,Jaguar,X-Type 2.5 V6,197,longue,5,5,noir,true,25970
4241 ZD 20,Seat,Toledo 1.6,102,longue,5,5,gris,false,18880
9804 IK 40,Mercedes,A200,136,moyenne,5,5,noir,true,18130
8561 NJ 25,Volvo,S80 T6,272,très longue,5,5,rouge,false,50500
352 MA 33,Renault,Vel Satis 3.5 V6,245,très longue,5,5,noir,false,49200
4172 RV 71,Skoda,Superb 2.8 V6,193,très longue,5,5,rouge,false,31790
2912 BX 96,Renault,Laguna 2.0T,170,longue,5,5,noir,false,27300
6804 KS 79,Daihatsu,Cuore 1.0,58,courte,5,3,noir,false,8850
5613 TA 63,Saab,9.3 1.8T,150,longue,5,5,blanc,false,38600
4643 UL 71,Skoda,Superb 2.8 V6,193,très longue,5,5,noir,false,31790
5832 SC 72,Volkswagen,Polo 1.2 6V,55,courte,5,3,blanc,false,12200
7998 IA 12,Saab,9.3 1.8T,150,longue,5,5,noir,true,27020
